Departure,Arrival,flightType,Flight_price,Flight_duration,Flight_Distance,Flight_agency,Departure_date,Hotel_Name,Arrival_place,Hotel_stay,Hotel_per_day_price,Check_in,Hotel_TotalPrice,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,Car_total_distance,fuelPolicy,Car_bookingStatus,total_rent_price
2,4,1,732.89,0.65,250.68,0,70,3,4,3,242.88,69,728.64,3347,3335,4,5,3.0,277.0,3,3,3713.0
5,7,2,1249.83,2.05,788.55,2,104,7,7,4,263.41,104,1053.64,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,2,2,697.65,1.49,573.81,0,4,5,2,4,60.39,2,241.56,2210,860,1,0,5.0,128.0,0,2,4138.0
2,7,1,1149.38,1.36,522.34,0,52,7,7,2,263.41,51,526.82,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,7,2,1311.38,2.44,937.77,0,160,7,7,2,263.41,163,526.82,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,3,2,1174.97,2.1,808.85,0,97,0,3,3,313.02,80,939.06,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,5,1,1124.11,1.44,555.74,0,64,2,5,1,312.83,64,312.83,3223,2950,3,1,4.0,393.0,2,0,4547.0
3,7,1,1692.64,2.44,937.77,1,19,7,7,2,263.41,27,526.82,2367,2940,2,0,1.0,181.0,1,2,2684.0
4,1,1,1192.62,1.43,550.69,1,99,4,1,3,247.62,99,742.86,24,2937,0,3,2.0,219.0,0,2,2084.0
1,5,0,421.2,0.63,242.21,2,96,2,5,4,312.83,96,1251.32,2815,1637,2,4,5.0,348.0,2,0,5061.0
5,7,1,1470.41,2.05,788.55,2,66,7,7,2,263.41,66,526.82,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,1,0,555.01,1.66,637.56,2,127,4,1,2,247.62,123,495.24,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,1,0,555.01,1.66,637.56,2,14,4,1,2,247.62,53,495.24,3347,3335,4,5,3.0,277.0,3,3,3713.0
1,8,0,533.8,0.67,257.81,2,93,1,8,4,139.1,106,556.4,1474,1815,0,0,3.0,359.0,0,0,3240.0
3,0,0,819.41,2.1,808.85,2,53,8,0,4,208.04,52,832.16,3347,3335,4,5,3.0,277.0,3,3,3713.0
3,0,2,1248.7,2.1,808.85,2,150,8,0,3,208.04,154,624.12,460,1776,3,4,5.0,375.0,0,1,4431.0
3,6,2,469.92,1.21,466.3,0,89,6,6,3,165.99,84,497.97,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,8,1,756.3,1.02,392.76,1,43,1,8,3,139.1,43,417.3,1908,1075,2,4,2.0,61.0,1,0,1334.0
3,2,0,544.86,1.49,573.81,2,131,5,2,4,60.39,130,241.56,1796,2108,1,0,5.0,486.0,0,0,11311.0
3,5,1,1175.62,1.76,676.53,2,19,2,5,2,312.83,27,625.66,3347,3335,4,5,3.0,277.0,3,3,3713.0
0,1,0,548.62,1.11,425.98,2,132,4,1,4,247.62,131,990.48,3347,3335,4,5,3.0,277.0,3,3,3713.0
