travelCode,User_ID,Departure,Arrival,flightType,Flight_price,Flight_duration,Flight_Distance,Flight_agency,Departure_date,Hotel_Name,Arrival_place,Hotel_stay,Hotel_per_day_price,Check_in,Hotel_TotalPrice,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,Car_total_distance,fuelPolicy,Car_bookingStatus,total_rent_price,car_rental_status
34279,328,Aracaju (SE),Salvador (BH),premium,1288.79,2.16,830.86,CloudFy,2020-12-17,Hotel K,Salvador (BH),2,263.41,2020-12-17,526.82,West Joseph,Taylormouth,Sedan,Budget,5.0,454.0,Prepaid,Pending,5234.0,1
37380,355,Aracaju (SE),Rio de Janeiro (RJ),premium,930.12,1.55,597.61,Rainbow,2022-09-22,Hotel CB,Rio de Janeiro (RJ),3,165.99,2022-09-22,497.97,Frazierborough,Collinsberg,Hatchback,Sixt,3.0,382.0,Prepaid,Pending,3421.0,1
24956,242,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,2020-12-31,Hotel BP,Brasilia (DF),4,247.62,2020-12-31,990.48,,,,,,,,,,0
96009,949,Florianopolis (SC),Brasilia (DF),economic,555.01,1.66,637.56,Rainbow,2020-09-17,Hotel BP,Brasilia (DF),1,247.62,2020-09-17,247.62,,,,,,,,,,0
9608,95,Brasilia (DF),Natal (RN),premium,1067.3,1.43,550.69,CloudFy,2021-11-25,Hotel BD,Natal (RN),3,242.88,2021-11-25,728.64,New Donaldland,Port James,Luxury,Sixt,3.0,121.0,Prepaid,Cancelled,3694.0,1
24081,236,Aracaju (SE),Salvador (BH),premium,1289.05,2.16,830.86,Rainbow,2020-01-10,Hotel K,Salvador (BH),1,263.41,2020-10-01,263.41,Port Matthewmouth,Wilsonport,SUV,Enterprise,5.0,178.0,Prepaid,Cancelled,2998.0,1
18150,180,Brasilia (DF),Natal (RN),premium,1067.3,1.43,550.69,CloudFy,2019-05-12,Hotel BD,Natal (RN),4,242.88,2019-12-05,971.52,,,,,,,,,,0
57809,563,Campo Grande (MS),Brasilia (DF),economic,506.56,0.72,277.7,CloudFy,2020-07-30,Hotel BP,Brasilia (DF),2,247.62,2020-07-30,495.24,Port Robertotown,Ericaborough,Hatchback,Budget,2.0,229.0,Prepaid,Cancelled,2171.0,1
16624,166,Recife (PE),Rio de Janeiro (RJ),premium,1351.89,2.3,885.57,Rainbow,2020-02-07,Hotel CB,Rio de Janeiro (RJ),1,165.99,2020-07-02,165.99,,,,,,,,,,0
80593,783,Aracaju (SE),Brasilia (DF),firstClass,957.68,1.11,425.98,CloudFy,2022-07-14,Hotel BP,Brasilia (DF),1,247.62,2022-07-14,247.62,,,,,,,,,,0
