travelCode,User_ID,Flight_price,Flight_duration,Flight_Distance,Departure_date,Hotel_stay,Check-in_x,Hotel_TotalPrice,Check-in_y,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,Car_total_distance,fuelPolicy,total_rent_price,Car_rented,review_car,review_hotel,review_flights,car_rating,overall_rating
0,0,1434.38,1.76,676.53,168,4,143,1252.08,194,3347,3335,4,5,,,3,,0,35,10,9,0,3.5
2,0,1684.05,2.16,830.86,63,2,151,526.82,194,3347,3335,4,5,,,3,,0,35,43,29,0,3.0
7,0,964.83,2.16,830.86,91,3,171,790.23,194,3347,3335,4,5,,,3,,0,35,40,26,0,2.0
11,0,1268.97,1.76,676.56,78,4,187,1053.64,194,3347,3335,4,5,,,3,,0,35,36,3,0,3.5
13,0,1434.38,1.76,676.53,170,1,195,313.02,194,3347,3335,4,5,,,3,,0,35,21,17,0,1.0
15,0,474.6,0.58,222.67,4,2,4,485.76,194,3347,3335,4,5,,,3,,0,35,23,41,0,2.0
22,0,1214.82,1.11,425.98,172,2,32,416.08,32,1019,2207,3,4,3.0,285.0,2,3410.0,1,3,39,16,2,2.0
29,0,604.14,1.44,555.74,101,4,60,1251.32,194,3347,3335,4,5,,,3,,0,35,24,22,0,3.0
32,0,893.65,0.67,257.81,30,2,72,278.2,194,3347,3335,4,5,,,3,,0,35,35,9,0,2.0
33,0,1346.6,1.76,676.56,88,4,76,1053.64,194,3347,3335,4,5,,,3,,0,35,12,11,0,2.0
34,0,630.34,1.02,392.76,133,3,80,417.3,194,3347,3335,4,5,,,3,,0,35,36,35,0,2.5
38,0,1433.35,1.43,550.69,116,2,96,485.76,194,3347,3335,4,5,,,3,,0,35,19,18,0,2.0
39,0,958.15,1.76,676.56,161,1,100,263.41,194,3347,3335,4,5,,,3,,0,35,24,39,0,2.5
42,0,832.77,1.39,535.4,103,3,112,181.17,194,3347,3335,4,5,,,3,,0,35,38,10,0,2.0
43,0,1484.94,2.05,788.55,148,4,115,1053.64,194,3347,3335,4,5,,,3,,0,35,27,11,0,2.0
45,0,474.6,0.58,222.67,49,1,121,242.88,116,2134,2519,3,2,3.0,412.0,0,4644.0,1,19,32,4,2,2.333333333333333
51,0,1242.65,2.05,788.55,109,1,139,263.41,194,3347,3335,4,5,,,3,,0,35,17,7,0,2.5
53,0,831.7,0.72,277.7,58,2,146,120.78,194,3347,3335,4,5,,,3,,0,35,33,19,0,3.5
54,0,730.43,1.02,392.76,62,3,150,417.3,194,3347,3335,4,5,,,3,,0,35,3,30,0,3.0
55,0,1371.83,1.76,676.53,96,2,154,626.04,194,3347,3335,4,5,,,3,,0,35,22,4,0,2.0
57,0,932.84,1.44,555.74,187,4,162,832.16,194,3347,3335,4,5,,,3,,0,35,27,1,0,3.5
60,0,1214.82,1.11,425.98,123,4,174,832.16,194,3347,3335,4,5,,,3,,0,35,30,36,0,3.5
65,0,717.04,1.55,597.61,157,1,194,165.99,194,3347,3335,4,5,,,3,,0,35,22,28,0,2.0
73,0,898.04,1.11,425.98,113,4,27,990.48,194,3347,3335,4,5,,,3,,0,35,4,13,0,2.0
81,0,726.19,1.43,550.69,92,4,59,971.52,194,3347,3335,4,5,,,3,,0,35,41,9,0,2.0
86,0,588.14,1.02,392.76,128,3,79,417.3,194,3347,3335,4,5,,,3,,0,35,4,24,0,2.0
