travelCode,User_ID_x,Departure,Arrival,flightType,Flight_price,Flight_duration,Flight_Distance,Flight_agency,Departure_date,User_ID_y,Hotel_Name,Arrival_place,Hotel_stay,Hotel_per_day_price,Check-in_x,Hotel_TotalPrice,User_ID,Check-in_y,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,Car_total_distance,fuelPolicy,Car_bookingStatus,total_rent_price,car_booking
22,0,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,27/02/2020,0,Hotel Z,Aracaju (SE),2,208.04,02/27/2020,416.08,0.0,02/27/2020,Johntown,Port Brian,Sedan,Sixt,3.0,285.0,Prepaid,Pending,3410.0,1
45,0,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,08/06/2020,0,Hotel BD,Natal (RN),1,242.88,08/06/2020,242.88,0.0,08/06/2020,Owensland,Ruizfort,Sedan,Enterprise,3.0,412.0,Full-to-Full,Pending,4644.0,1
117,2,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,27/02/2020,2,Hotel AU,Recife (PE),2,312.83,02/27/2020,625.66,2.0,02/27/2020,Edwardview,Katiefort,Sedan,Hertz,1.0,433.0,Partial,Confirmed,4740.0,1
119,2,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,03/12/2020,2,Hotel K,Salvador (BH),2,263.41,03/12/2020,526.82,2.0,03/12/2020,Moranborough,Lake Stephanie,Hatchback,Budget,3.0,421.0,Full-to-Full,Confirmed,3744.0,1
153,2,Aracaju (SE),Campo Grande (MS),premium,1021.53,1.69,650.1,CloudFy,11/05/2020,2,Hotel BW,Campo Grande (MS),4,60.39,11/05/2020,241.56,2.0,11/05/2020,Port Kathrynstad,East Ronnieberg,Sedan,Enterprise,5.0,100.0,Prepaid,Cancelled,1694.0,1
255,3,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,16/04/2020,3,Hotel A,Florianopolis (SC),1,313.02,04/16/2020,313.02,3.0,04/16/2020,East Jenniferhaven,South Meghan,SUV,Sixt,4.0,249.0,Partial,Cancelled,3783.0,1
283,3,Recife (PE),Sao Paulo (SP),premium,670.13,1.26,486.52,Rainbow,29/10/2020,3,Hotel AF,Sao Paulo (SP),1,139.1,10/29/2020,139.1,3.0,10/29/2020,Martinezberg,New Josephfort,Hatchback,Enterprise,3.0,309.0,Partial,Pending,2869.0,1
305,3,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,04/01/2021,3,Hotel BD,Natal (RN),4,242.88,04/01/2021,971.52,3.0,04/01/2021,Brandistad,Lake Alexander,SUV,Enterprise,1.0,146.0,Full-to-Full,Cancelled,2278.0,1
338,3,Brasilia (DF),Aracaju (SE),economic,721.2,1.11,425.98,Rainbow,18/11/2021,3,Hotel Z,Aracaju (SE),3,208.04,11/18/2021,624.12,3.0,11/18/2021,Gonzalezberg,West Margaret,Sedan,Enterprise,3.0,214.0,Partial,Confirmed,2683.0,1
385,3,Recife (PE),Campo Grande (MS),economic,615.59,1.39,535.4,Rainbow,13/10/2022,3,Hotel BW,Campo Grande (MS),2,60.39,10/13/2022,120.78,3.0,10/13/2022,North Caseyburgh,South Carrie,SUV,Hertz,1.0,260.0,Full-to-Full,Confirmed,3631.0,1
387,3,Brasilia (DF),Sao Paulo (SP),premium,698.1,0.67,257.81,CloudFy,27/10/2022,3,Hotel AF,Sao Paulo (SP),3,139.1,10/27/2022,417.3,3.0,10/27/2022,Hansonfurt,Lake Shannon,Hatchback,Sixt,1.0,408.0,Partial,Confirmed,3554.0,1
517,4,Recife (PE),Natal (RN),economic,360.22,0.58,222.67,Rainbow,07/01/2021,4,Hotel BD,Natal (RN),4,242.88,07/01/2021,971.52,4.0,07/01/2021,Carterhaven,Marquezville,Luxury,Enterprise,2.0,358.0,Full-to-Full,Cancelled,8288.0,1
545,4,Recife (PE),Campo Grande (MS),firstClass,1038.95,1.39,535.4,FlyingDrops,13/01/2022,4,Hotel BW,Campo Grande (MS),1,60.39,01/13/2022,60.39,4.0,01/13/2022,New Matthew,Lake Ashley,Luxury,Budget,5.0,469.0,Prepaid,Pending,10974.0,1
548,4,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,02/03/2022,4,Hotel BW,Campo Grande (MS),2,60.39,02/03/2022,120.78,4.0,02/03/2022,Kevinbury,Houseport,Hatchback,Budget,5.0,349.0,Full-to-Full,Pending,3259.0,1
562,4,Recife (PE),Natal (RN),economic,360.22,0.58,222.67,Rainbow,05/12/2022,4,Hotel BD,Natal (RN),2,242.88,05/12/2022,485.76,4.0,05/12/2022,Lake Antonio,North Alisonstad,Luxury,Enterprise,3.0,376.0,Full-to-Full,Confirmed,8798.0,1
565,4,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,06/02/2022,4,Hotel CB,Rio de Janeiro (RJ),2,165.99,06/02/2022,331.98,4.0,06/02/2022,South Anthony,New Marioberg,Sedan,Enterprise,1.0,318.0,Full-to-Full,Pending,3586.0,1
591,4,Brasilia (DF),Recife (PE),firstClass,772.21,0.63,242.21,Rainbow,12/01/2022,4,Hotel AU,Recife (PE),4,312.83,12/01/2022,1251.32,4.0,12/01/2022,North Aaronchester,South Bryanport,Sedan,Sixt,2.0,472.0,Partial,Pending,5175.0,1
609,4,Brasilia (DF),Campo Grande (MS),firstClass,1096.58,0.72,277.7,CloudFy,04/06/2023,4,Hotel BW,Campo Grande (MS),2,60.39,04/06/2023,120.78,4.0,04/06/2023,New Markbury,South Briantown,Luxury,Enterprise,4.0,96.0,Prepaid,Confirmed,3330.0,1
698,6,Brasilia (DF),Recife (PE),firstClass,772.21,0.63,242.21,Rainbow,12/05/2019,6,Hotel AU,Recife (PE),1,312.83,12/05/2019,312.83,6.0,12/05/2019,East Mistybury,New Kevinberg,Hatchback,Avis,3.0,372.0,Full-to-Full,Confirmed,3347.0,1
805,7,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,28/05/2020,7,Hotel Z,Aracaju (SE),2,208.04,05/28/2020,416.08,7.0,05/28/2020,West Karinaport,Rogersburgh,Luxury,Enterprise,3.0,384.0,Prepaid,Pending,8972.0,1
812,7,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,16/07/2020,7,Hotel BD,Natal (RN),2,242.88,07/16/2020,485.76,7.0,07/16/2020,Samanthafort,Pattersonfurt,SUV,Avis,4.0,264.0,Full-to-Full,Cancelled,3962.0,1
840,8,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,30/01/2020,8,Hotel Z,Aracaju (SE),1,208.04,01/30/2020,208.04,8.0,01/30/2020,Simpsonside,Alexanderview,SUV,Sixt,2.0,158.0,Partial,Pending,2520.0,1
864,8,Recife (PE),Brasilia (DF),firstClass,709.25,0.63,242.21,CloudFy,16/07/2020,8,Hotel BP,Brasilia (DF),2,247.62,07/16/2020,495.24,8.0,07/16/2020,Williamhaven,Bartlettshire,Luxury,Avis,3.0,306.0,Full-to-Full,Cancelled,7404.0,1
917,8,Aracaju (SE),Natal (RN),economic,380.32,0.46,176.33,Rainbow,22/07/2021,8,Hotel BD,Natal (RN),3,242.88,07/22/2021,728.64,8.0,07/22/2021,Dianachester,Amandaport,Hatchback,Hertz,2.0,296.0,Full-to-Full,Confirmed,2694.0,1
938,8,Aracaju (SE),Sao Paulo (SP),economic,446.73,1.02,392.76,Rainbow,16/12/2021,8,Hotel AF,Sao Paulo (SP),3,139.1,12/16/2021,417.3,8.0,12/16/2021,West Danielton,Lake Alexander,Luxury,Sixt,1.0,349.0,Prepaid,Cancelled,7977.0,1
974,8,Brasilia (DF),Florianopolis (SC),premium,1222.24,1.66,637.56,Rainbow,25/08/2022,8,Hotel A,Florianopolis (SC),1,313.02,08/25/2022,313.02,8.0,08/25/2022,Ryanshire,Tannerberg,Sedan,Hertz,5.0,473.0,Prepaid,Cancelled,5417.0,1
988,8,Brasilia (DF),Salvador (BH),firstClass,1665.24,1.76,676.56,Rainbow,12/01/2022,8,Hotel K,Salvador (BH),4,263.41,12/01/2022,1053.64,8.0,12/01/2022,Port Olivia,Fergusonborough,Luxury,Sixt,5.0,266.0,Partial,Cancelled,6896.0,1
998,9,Aracaju (SE),Natal (RN),firstClass,549.96,0.46,176.33,Rainbow,10/03/2019,9,Hotel BD,Natal (RN),2,242.88,10/03/2019,485.76,9.0,10/03/2019,Williamsstad,Leeton,Luxury,Hertz,2.0,83.0,Prepaid,Confirmed,2786.0,1
1006,9,Aracaju (SE),Recife (PE),firstClass,1124.11,1.44,555.74,CloudFy,28/11/2019,9,Hotel AU,Recife (PE),2,312.83,11/28/2019,625.66,9.0,11/28/2019,Jeffreybury,Bakerton,Luxury,Sixt,3.0,128.0,Full-to-Full,Confirmed,3853.0,1
