User_ID,travelCode,Check-in,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,Car_total_distance,fuelPolicy,Car_bookingStatus,total_rent_price
0,22,02/27/2020,Johntown,Port Brian,Sedan,Sixt,3,285,Prepaid,Pending,3410
0,45,08/06/2020,Owensland,Ruizfort,Sedan,Enterprise,3,412,Full-to-Full,Pending,4644
2,117,02/27/2020,Edwardview,Katiefort,Sedan,Hertz,1,433,Partial,Confirmed,4740
2,119,03/12/2020,Moranborough,Lake Stephanie,Hatchback,Budget,3,421,Full-to-Full,Confirmed,3744
2,153,11/05/2020,Port Kathrynstad,East Ronnieberg,Sedan,Enterprise,5,100,Prepaid,Cancelled,1694
3,255,04/16/2020,East Jenniferhaven,South Meghan,SUV,Sixt,4,249,Partial,Cancelled,3783
3,283,10/29/2020,Martinezberg,New Josephfort,Hatchback,Enterprise,3,309,Partial,Pending,2869
3,305,04/01/2021,Brandistad,Lake Alexander,SUV,Enterprise,1,146,Full-to-Full,Cancelled,2278
3,338,11/18/2021,Gonzalezberg,West Margaret,Sedan,Enterprise,3,214,Partial,Confirmed,2683
3,385,10/13/2022,North Caseyburgh,South Carrie,SUV,Hertz,1,260,Full-to-Full,Confirmed,3631
3,387,10/27/2022,Hansonfurt,Lake Shannon,Hatchback,Sixt,1,408,Partial,Confirmed,3554
4,517,07/01/2021,Carterhaven,Marquezville,Luxury,Enterprise,2,358,Full-to-Full,Cancelled,8288
4,545,01/13/2022,New Matthew,Lake Ashley,Luxury,Budget,5,469,Prepaid,Pending,10974
4,548,02/03/2022,Kevinbury,Houseport,Hatchback,Budget,5,349,Full-to-Full,Pending,3259
4,562,05/12/2022,Lake Antonio,North Alisonstad,Luxury,Enterprise,3,376,Full-to-Full,Confirmed,8798
4,565,06/02/2022,South Anthony,New Marioberg,Sedan,Enterprise,1,318,Full-to-Full,Pending,3586
4,591,12/01/2022,North Aaronchester,South Bryanport,Sedan,Sixt,2,472,Partial,Pending,5175
4,609,04/06/2023,New Markbury,South Briantown,Luxury,Enterprise,4,96,Prepaid,Confirmed,3330
6,698,12/05/2019,East Mistybury,New Kevinberg,Hatchback,Avis,3,372,Full-to-Full,Confirmed,3347
7,805,05/28/2020,West Karinaport,Rogersburgh,Luxury,Enterprise,3,384,Prepaid,Pending,8972
7,812,07/16/2020,Samanthafort,Pattersonfurt,SUV,Avis,4,264,Full-to-Full,Cancelled,3962
8,840,01/30/2020,Simpsonside,Alexanderview,SUV,Sixt,2,158,Partial,Pending,2520
8,864,07/16/2020,Williamhaven,Bartlettshire,Luxury,Avis,3,306,Full-to-Full,Cancelled,7404
8,917,07/22/2021,Dianachester,Amandaport,Hatchback,Hertz,2,296,Full-to-Full,Confirmed,2694
8,938,12/16/2021,West Danielton,Lake Alexander,Luxury,Sixt,1,349,Prepaid,Cancelled,7977
8,974,08/25/2022,Ryanshire,Tannerberg,Sedan,Hertz,5,473,Prepaid,Cancelled,5417
8,988,12/01/2022,Port Olivia,Fergusonborough,Luxury,Sixt,5,266,Partial,Cancelled,6896
9,998,10/03/2019,Williamsstad,Leeton,Luxury,Hertz,2,83,Prepaid,Confirmed,2786
9,1006,11/28/2019,Jeffreybury,Bakerton,Luxury,Sixt,3,128,Full-to-Full,Confirmed,3853
9,1048,09/17/2020,Johnside,Sarahhaven,Luxury,Avis,3,334,Full-to-Full,Cancelled,7976
9,1055,11/05/2020,West Melissa,Mayshire,SUV,Budget,4,382,Partial,Pending,5367
10,1151,06/25/2020,Lake Nicholasland,Lake Matthew,Hatchback,Avis,1,87,Partial,Confirmed,994
10,1157,08/06/2020,West Penny,North Danielbury,SUV,Enterprise,2,438,Prepaid,Cancelled,5855
10,1173,11/26/2020,West Patrick,East Bryanbury,Luxury,Sixt,1,115,Partial,Pending,3276
11,1180,10/24/2019,East Jennifer,Port Tiffanyview,Sedan,Hertz,2,86,Prepaid,Pending,1346
11,1213,06/11/2020,West Nathaniel,Claudiatown,Sedan,Budget,5,116,Full-to-Full,Confirmed,1823
11,1255,04/01/2021,Villanuevachester,South David,Sedan,Hertz,3,187,Partial,Pending,2412
11,1276,08/26/2021,Lake Nicolechester,Christopherhaven,Luxury,Budget,2,68,Full-to-Full,Confirmed,2492
11,1283,10/14/2021,Port Pedro,East Danielle,Luxury,Enterprise,1,140,Prepaid,Cancelled,3786
12,1388,02/13/2020,Tinaton,Loristad,Luxury,Hertz,1,398,Prepaid,Cancelled,8921
12,1400,05/07/2020,Gonzalesstad,Vasquezview,Sedan,Hertz,1,385,Partial,Pending,4231
12,1407,06/25/2020,Lake Terrifurt,South Garyburgh,Sedan,Sixt,3,128,Partial,Cancelled,1840
12,1412,07/30/2020,West Bobbyton,Lake Joshuafurt,SUV,Enterprise,1,225,Prepaid,Confirmed,3215
12,1420,09/24/2020,Dawnborough,South Victoriaside,SUV,Hertz,2,351,Prepaid,Cancelled,4825
12,1429,11/26/2020,New Ashleytown,Hernandezmouth,Sedan,Hertz,1,221,Full-to-Full,Cancelled,2609
13,1505,01/07/2021,Lake John,Tylerberg,Hatchback,Budget,2,208,Prepaid,Confirmed,2001
13,1576,05/19/2022,West William,Tonistad,Hatchback,Avis,2,411,Partial,Confirmed,3628
13,1587,08/04/2022,Matthewstad,North Rebekah,SUV,Sixt,4,309,Full-to-Full,Pending,4510
14,1618,10/03/2019,South Jaredbury,Ginashire,Luxury,Sixt,1,243,Partial,Cancelled,5856
15,1666,11/28/2019,South Donaldshire,Davidside,Luxury,Avis,2,181,Full-to-Full,Pending,4766
15,1676,02/06/2020,Jillport,Matafurt,Hatchback,Sixt,5,228,Full-to-Full,Pending,2313
15,1737,04/08/2021,Gonzalezhaven,South Micheal,Sedan,Avis,2,187,Full-to-Full,Confirmed,2337
