travelCode,User_ID,Departure,Arrival,flightType,Flight_price,Flight_duration,Flight_Distance,Flight_agency,Departure_date
0,0,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,26/09/2019
2,0,Aracaju (SE),Salvador (BH),firstClass,1684.05,2.16,830.86,CloudFy,10/10/2019
7,0,Aracaju (SE),Salvador (BH),economic,964.83,2.16,830.86,CloudFy,14/11/2019
11,0,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,12/12/2019
13,0,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,26/12/2019
15,0,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,01/09/2020
22,0,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,27/02/2020
29,0,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,16/04/2020
32,0,Brasilia (DF),Sao Paulo (SP),firstClass,893.65,0.67,257.81,CloudFy,05/07/2020
33,0,Brasilia (DF),Salvador (BH),premium,1346.6,1.76,676.56,CloudFy,14/05/2020
34,0,Aracaju (SE),Sao Paulo (SP),premium,630.34,1.02,392.76,CloudFy,21/05/2020
38,0,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,18/06/2020
39,0,Brasilia (DF),Salvador (BH),economic,958.15,1.76,676.56,CloudFy,25/06/2020
42,0,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,16/07/2020
43,0,Recife (PE),Salvador (BH),firstClass,1484.94,2.05,788.55,CloudFy,23/07/2020
45,0,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,08/06/2020
51,0,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,17/09/2020
53,0,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,10/01/2020
54,0,Aracaju (SE),Sao Paulo (SP),firstClass,730.43,1.02,392.76,CloudFy,10/08/2020
55,0,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,15/10/2020
57,0,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,29/10/2020
60,0,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,19/11/2020
65,0,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,24/12/2020
73,0,Aracaju (SE),Brasilia (DF),firstClass,898.04,1.11,425.98,FlyingDrops,18/02/2021
81,0,Brasilia (DF),Natal (RN),economic,726.19,1.43,550.69,Rainbow,15/04/2021
86,0,Aracaju (SE),Sao Paulo (SP),premium,588.14,1.02,392.76,Rainbow,20/05/2021
87,0,Brasilia (DF),Recife (PE),firstClass,804.24,0.63,242.21,CloudFy,27/05/2021
90,1,Aracaju (SE),Sao Paulo (SP),premium,630.34,1.02,392.76,CloudFy,10/03/2019
92,1,Recife (PE),Brasilia (DF),premium,638.63,0.63,242.21,Rainbow,17/10/2019
100,2,Brasilia (DF),Rio de Janeiro (RJ),economic,344.26,0.48,183.37,CloudFy,31/10/2019
101,2,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,11/07/2019
105,2,Brasilia (DF),Aracaju (SE),economic,654.88,1.11,425.98,CloudFy,12/05/2019
108,2,Brasilia (DF),Recife (PE),firstClass,804.24,0.63,242.21,CloudFy,26/12/2019
109,2,Aracaju (SE),Campo Grande (MS),firstClass,1389.37,1.69,650.1,CloudFy,01/02/2020
110,2,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,01/09/2020
112,2,Brasilia (DF),Sao Paulo (SP),premium,698.1,0.67,257.81,CloudFy,23/01/2020
116,2,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,20/02/2020
117,2,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,27/02/2020
119,2,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,03/12/2020
122,2,Aracaju (SE),Florianopolis (SC),premium,1174.97,2.1,808.85,CloudFy,04/02/2020
124,2,Recife (PE),Aracaju (SE),firstClass,1181.19,1.44,555.74,Rainbow,16/04/2020
125,2,Recife (PE),Campo Grande (MS),premium,793.15,1.39,535.4,CloudFy,23/04/2020
135,2,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,07/02/2020
137,2,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,16/07/2020
150,2,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,15/10/2020
153,2,Aracaju (SE),Campo Grande (MS),premium,1021.53,1.69,650.1,CloudFy,11/05/2020
156,2,Recife (PE),Brasilia (DF),firstClass,697.22,0.63,242.21,FlyingDrops,26/11/2020
160,2,Recife (PE),Campo Grande (MS),economic,563.71,1.39,535.4,CloudFy,24/12/2020
165,2,Recife (PE),Natal (RN),firstClass,633.71,0.58,222.67,FlyingDrops,28/01/2021
177,2,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,22/04/2021
180,2,Aracaju (SE),Campo Grande (MS),premium,1116.83,1.69,650.1,Rainbow,13/05/2021
187,2,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,07/01/2021
188,2,Brasilia (DF),Sao Paulo (SP),premium,750.0,0.67,257.81,Rainbow,07/08/2021
189,2,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,15/07/2021
192,2,Brasilia (DF),Florianopolis (SC),economic,884.94,1.66,637.56,CloudFy,08/05/2021
197,2,Brasilia (DF),Florianopolis (SC),premium,1222.24,1.66,637.56,Rainbow,09/09/2021
201,2,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,2.1,808.85,Rainbow,10/07/2021
205,2,Brasilia (DF),Rio de Janeiro (RJ),firstClass,539.39,0.48,183.37,FlyingDrops,11/04/2021
211,2,Recife (PE),Aracaju (SE),economic,663.23,1.44,555.74,Rainbow,16/12/2021
213,2,Brasilia (DF),Salvador (BH),economic,921.08,1.76,676.56,Rainbow,30/12/2021
214,2,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,01/06/2022
219,2,Brasilia (DF),Florianopolis (SC),economic,889.07,1.66,637.56,Rainbow,02/10/2022
221,2,Aracaju (SE),Salvador (BH),economic,943.36,2.16,830.86,Rainbow,24/02/2022
224,2,Aracaju (SE),Brasilia (DF),premium,755.62,1.11,425.98,CloudFy,17/03/2022
225,2,Brasilia (DF),Natal (RN),premium,1067.3,1.43,550.69,CloudFy,24/03/2022
233,3,Brasilia (DF),Florianopolis (SC),firstClass,1569.65,1.66,637.56,FlyingDrops,14/11/2019
235,3,Brasilia (DF),Florianopolis (SC),economic,889.07,1.66,637.56,Rainbow,28/11/2019
238,3,Recife (PE),Florianopolis (SC),premium,1070.54,1.76,676.53,Rainbow,19/12/2019
239,3,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,26/12/2019
240,3,Recife (PE),Brasilia (DF),economic,439.38,0.63,242.21,Rainbow,01/02/2020
241,3,Recife (PE),Florianopolis (SC),premium,1074.75,1.76,676.53,CloudFy,01/09/2020
243,3,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1183.57,1.55,597.61,CloudFy,23/01/2020
244,3,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,30/01/2020
246,3,Brasilia (DF),Recife (PE),economic,432.1,0.63,242.21,CloudFy,13/02/2020
248,3,Recife (PE),Campo Grande (MS),premium,793.15,1.39,535.4,CloudFy,27/02/2020
255,3,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,16/04/2020
259,3,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,14/05/2020
263,3,Brasilia (DF),Campo Grande (MS),premium,851.15,0.72,277.7,Rainbow,06/11/2020
269,3,Brasilia (DF),Rio de Janeiro (RJ),firstClass,586.04,0.48,183.37,Rainbow,23/07/2020
275,3,Brasilia (DF),Natal (RN),economic,726.19,1.43,550.69,Rainbow,09/03/2020
279,3,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,10/01/2020
283,3,Recife (PE),Sao Paulo (SP),premium,670.13,1.26,486.52,Rainbow,29/10/2020
287,3,Brasilia (DF),Recife (PE),firstClass,691.39,0.63,242.21,FlyingDrops,26/11/2020
290,3,Recife (PE),Campo Grande (MS),firstClass,1069.12,1.39,535.4,Rainbow,17/12/2020
291,3,Brasilia (DF),Salvador (BH),economic,921.08,1.76,676.56,Rainbow,24/12/2020
295,3,Recife (PE),Natal (RN),firstClass,669.83,0.58,222.67,CloudFy,21/01/2021
296,3,Aracaju (SE),Recife (PE),premium,835.21,1.44,555.74,CloudFy,28/01/2021
299,3,Recife (PE),Sao Paulo (SP),economic,513.06,1.26,486.52,CloudFy,18/02/2021
300,3,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,25/02/2021
303,3,Aracaju (SE),Campo Grande (MS),firstClass,1387.89,1.69,650.1,Rainbow,18/03/2021
305,3,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,04/01/2021
306,3,Aracaju (SE),Florianopolis (SC),premium,1174.97,2.1,808.85,CloudFy,04/08/2021
