User_ID,travelCode,Hotel_Name,Arrival_place,Hotel_stay,Hotel_per_day_price,Check-in,Hotel_TotalPrice
0,0,The Sapphire Retreat,Florianopolis (SC),4,313.02,09/26/2019,1252.08
0,2,Oceanview Inn,Salvador (BH),2,263.41,10/10/2019,526.82
0,7,Oceanview Inn,Salvador (BH),3,263.41,11/14/2019,790.23
0,11,Oceanview Inn,Salvador (BH),4,263.41,12/12/2019,1053.64
0,13,Horizon Cliff Hotel,Florianopolis (SC),1,313.02,12/26/2019,313.02
0,15,Emerald Bay Resort,Natal (RN),2,242.88,01/09/2020,485.76
0,22,Regal Heights Hotel,Aracaju (SE),2,208.04,02/27/2020,416.08
0,29,Urban Elegance Hotel,Recife (PE),4,312.83,04/16/2020,1251.32
0,32,Harbor View Hotel,Sao Paulo (SP),2,139.1,05/07/2020,278.2
0,33,Oceanview Inn,Salvador (BH),4,263.41,05/14/2020,1053.64
0,34,Seaside Retreat,Sao Paulo (SP),3,139.1,05/21/2020,417.3
0,38,Royal Orchid,Natal (RN),2,242.88,06/18/2020,485.76
0,39,Grand Palace Hotel,Salvador (BH),1,263.41,06/25/2020,263.41
0,42,Summit Heights Hotel,Campo Grande (MS),3,60.39,07/16/2020,181.17
0,43,Oceanview Inn,Salvador (BH),4,263.41,07/23/2020,1053.64
0,45,Cityscape Hotel,Natal (RN),1,242.88,08/06/2020,242.88
0,51,Sunset Resort,Salvador (BH),1,263.41,09/17/2020,263.41
0,53,Summit Heights Hotel,Campo Grande (MS),2,60.39,10/01/2020,120.78
0,54,Harbor View Hotel,Sao Paulo (SP),3,139.1,10/08/2020,417.3
0,55,The Sapphire Retreat,Florianopolis (SC),2,313.02,10/15/2020,626.04
0,57,Regal Heights Hotel,Aracaju (SE),4,208.04,10/29/2020,832.16
0,60,Regal Heights Hotel,Aracaju (SE),4,208.04,11/19/2020,832.16
0,65,Golden Sands Hotel,Rio de Janeiro (RJ),1,165.99,12/24/2020,165.99
0,73,Starlight Inn,Brasilia (DF),4,247.62,02/18/2021,990.48
0,81,Royal Orchid,Natal (RN),4,242.88,04/15/2021,971.52
0,86,Seaside Retreat,Sao Paulo (SP),3,139.1,05/20/2021,417.3
0,87,Lakeside Manor,Recife (PE),1,312.83,05/27/2021,312.83
1,90,Seaside Retreat,Sao Paulo (SP),1,139.1,10/03/2019,139.1
1,92,Starlight Inn,Brasilia (DF),1,247.62,10/17/2019,247.62
2,100,Mountain Lodge,Rio de Janeiro (RJ),4,165.99,10/31/2019,663.96
2,101,Evergreen Lodge,Campo Grande (MS),3,60.39,11/07/2019,181.17
2,105,Velvet Sunset Inn,Aracaju (SE),4,208.04,12/05/2019,832.16
2,108,Crystal Cove Resort,Recife (PE),3,312.83,12/26/2019,938.49
2,109,Serenity Bay,Campo Grande (MS),2,60.39,01/02/2020,120.78
2,110,Oceanview Inn,Salvador (BH),1,263.41,01/09/2020,263.41
2,112,The Majestic Tower,Sao Paulo (SP),4,139.1,01/23/2020,556.4
2,116,Summit Heights Hotel,Campo Grande (MS),4,60.39,02/20/2020,241.56
2,117,Crystal Cove Resort,Recife (PE),2,312.83,02/27/2020,625.66
2,119,Grand Palace Hotel,Salvador (BH),2,263.41,03/12/2020,526.82
