user_id,Pickup_Location,rental_date,duration,return_date,car_id,total_amount
0,Visakhapatnam,26-09-2019,3,29-09-2019,9818,28350
0,Shillong,10-10-2019,3,13-10-2019,6755,25200
0,Ranchi,14-11-2019,6,20-11-2019,331,56400
0,Raigarh,12-12-2019,3,15-12-2019,4288,18600
0,Kolkata,26-12-2019,5,31-12-2019,6287,29500
0,Amritsar,09-01-2020,2,11-01-2020,6972,18600
0,Pune,27-02-2020,1,28-02-2020,1418,9350
0,Mumbai,16-04-2020,5,21-04-2020,10740,44000
0,Mumbai,07-05-2020,2,09-05-2020,10641,17400
0,Raipur,14-05-2020,5,19-05-2020,2619,29250
0,Raigarh,21-05-2020,3,24-05-2020,4306,24600
0,Srinagar,18-06-2020,5,23-06-2020,5396,47500
0,Delhi NCR,25-06-2020,6,01-07-2020,5548,48000
0,Raipur,16-07-2020,1,17-07-2020,2753,8800
0,Ludhiana,24-07-2020,4,28-07-2020,4144,29600
0,Raigarh,06-08-2020,2,08-08-2020,4358,23600
0,Raipur,17-09-2020,1,18-09-2020,2703,5700
0,Indore,01-10-2020,1,02-10-2020,10026,7400
0,Shillong,08-10-2020,4,12-10-2020,6768,32400
0,Khowai,15-10-2020,7,22-10-2020,1091,57400
0,Visakhapatnam,29-10-2020,5,03-11-2020,9901,64500
0,Indore,19-11-2020,3,22-11-2020,10075,19800
0,Gwalior,24-12-2020,5,29-12-2020,1837,59500
0,Ahmedabad,18-02-2021,6,24-02-2021,786,60000
0,Prayagraj,15-04-2021,4,19-04-2021,3757,55200
0,Dhubri,21-05-2021,1,22-05-2021,6129,9900
0,Ahmedabad,27-05-2021,5,01-06-2021,681,46250
1,Chandigarh,03-10-2019,5,08-10-2019,9165,64000
1,Puri,17-10-2019,4,21-10-2019,4710,57000
2,Kullu-Manali,31-10-2019,2,02-11-2019,7489,17500
2,Amritsar,07-11-2019,7,14-11-2019,6891,58800
2,Mysuru,05-12-2019,7,12-12-2019,10246,77350
2,Visakhapatnam,26-12-2019,1,27-12-2019,9819,5950
2,Khowai,02-01-2020,4,06-01-2020,1111,22800
2,Surat,09-01-2020,7,16-01-2020,8578,84700
2,Srinagar,23-01-2020,1,24-01-2020,5213,9400
2,Shimla,20-02-2020,3,23-02-2020,9372,27300
2,Amritsar,27-02-2020,6,04-03-2020,6966,82800
2,Guwahati,12-03-2020,5,17-03-2020,2256,25750
2,Mumbai,02-04-2020,2,04-04-2020,10727,14000
2,Puducherry,16-04-2020,4,20-04-2020,2834,31600
2,Varanasi,23-04-2020,2,25-04-2020,5952,12600
2,Kullu-Manali,02-07-2020,2,04-07-2020,7541,27800
2,Mysuru,16-07-2020,1,17-07-2020,10271,5050
2,Hyderabad,15-10-2020,5,20-10-2020,814,49750
2,Khowai,05-11-2020,2,07-11-2020,1195,18200
2,Mopa,27-11-2020,1,28-11-2020,3490,11650
2,Srinagar,24-12-2020,2,26-12-2020,5379,17000
2,Diu,28-01-2021,3,31-01-2021,8936,20700
2,Bengaluru,22-04-2021,6,28-04-2021,2156,54000
2,Gangtok,13-05-2021,4,17-05-2021,6552,25200
2,Udaipur,01-07-2021,4,05-07-2021,8639,19800
2,Kota,08-07-2021,6,14-07-2021,8273,42300
2,Jaipur,15-07-2021,4,19-07-2021,7294,43600
2,Thiruvananthapuram,05-08-2021,5,10-08-2021,8100,38500
2,Bhubaneswar,09-09-2021,6,15-09-2021,7809,47400
