travelCode_outbound,User_ID,flightType_outbound,Flight_price_outbound,Flight_agency_outbound,Departure_date_outbound,Departure_outbound,Arrival_outbound,Flight Distance (km)_outbound,Flight Duration (hh:mm)_outbound,Departure Time_outbound,Arrival Time_outbound,flight_number_outbound,travelCode_return,flightType_return,Flight_price_return,Flight_agency_return,Departure_date_return,Departure_return,Arrival_return,Flight Distance (km)_return,Flight Duration (hh:mm)_return,Departure Time_return,Arrival Time_return,flight_number_return
503,4,firstClass,1515.79,Air India,25/03/2021,Itanagar,Surat,2204.62,02:26,00:56,03:22,AI710,590,economic,421.2,SpiceJet,24/11/2022,Surat,Itanagar,2204.62,02:26,04:18,06:44,SG5534
590,4,economic,421.2,SpiceJet,24/11/2022,Surat,Itanagar,2204.62,02:26,04:18,06:44,SG5534,503,firstClass,1515.79,Air India,25/03/2021,Itanagar,Surat,2204.62,02:26,00:56,03:22,AI710
1479,13,economic,604.14,IndiGo,07/09/2020,Bengaluru,Visakhapatnam,797.17,00:53,01:41,02:34,6E624,1507,economic,421.2,SpiceJet,21/01/2021,Visakhapatnam,Bengaluru,797.17,00:53,08:07,09:00,SG3515
1507,13,economic,421.2,SpiceJet,21/01/2021,Visakhapatnam,Bengaluru,797.17,00:53,08:07,09:00,SG3515,1479,economic,604.14,IndiGo,07/09/2020,Bengaluru,Visakhapatnam,797.17,00:53,01:41,02:34,6E624
1666,15,firstClass,1124.11,Air India,28/11/2019,Chandigarh,Navi Mumbai,1355.13,01:30,11:12,12:42,AI560D,1792,economic,964.83,Air India,28/04/2022,Navi Mumbai,Chandigarh,1355.13,01:30,02:29,03:59,AI446B
1792,15,economic,964.83,Air India,28/04/2022,Navi Mumbai,Chandigarh,1355.13,01:30,02:29,03:59,AI446B,1666,firstClass,1124.11,Air India,28/11/2019,Chandigarh,Navi Mumbai,1355.13,01:30,11:12,12:42,AI560D
2069,18,premium,670.13,Akasa Air,28/01/2021,Kota,Visakhapatnam,3406.67,03:47,03:42,07:29,QP1337B,2072,premium,1242.65,Air India,18/02/2021,Visakhapatnam,Kota,3406.67,03:47,12:54,16:41,AI750
2072,18,premium,1242.65,Air India,18/02/2021,Visakhapatnam,Kota,3406.67,03:47,12:54,16:41,AI750,2069,premium,670.13,Akasa Air,28/01/2021,Kota,Visakhapatnam,3406.67,03:47,03:42,07:29,QP1337B
2383,21,economic,563.71,IndiGo,17/06/2021,Shillong,Diu,2201.44,02:26,16:15,18:41,6E205B,2448,economic,604.14,Air India,15/09/2022,Diu,Shillong,2201.44,02:26,05:21,07:47,AI898B
2448,21,economic,604.14,Air India,15/09/2022,Diu,Shillong,2201.44,02:26,05:21,07:47,AI898B,2383,economic,563.71,IndiGo,17/06/2021,Shillong,Diu,2201.44,02:26,16:15,18:41,6E205B
2691,23,firstClass,1038.95,GoAir,11/12/2020,Bilaspur,Dabolim,1149.76,01:16,20:13,21:29,G81952,2761,economic,908.93,SpiceJet,17/03/2022,Dabolim,Bilaspur,1149.76,01:16,01:07,02:23,SG4352B
2761,23,economic,908.93,SpiceJet,17/03/2022,Dabolim,Bilaspur,1149.76,01:16,01:07,02:23,SG4352B,2691,firstClass,1038.95,GoAir,11/12/2020,Bilaspur,Dabolim,1149.76,01:16,20:13,21:29,G81952
3392,34,firstClass,954.78,GoAir,05/07/2020,Ayodhya,Khowai,991.41,01:06,01:34,02:40,G81757B,3442,premium,1288.79,Air India,22/04/2021,Khowai,Ayodhya,991.41,01:06,23:29,00:35,AI331D
3441,34,premium,793.15,Air India,15/04/2021,Mysuru,Bhopal,1221.01,01:21,19:40,21:01,AI993C,3498,firstClass,1515.79,Air India,19/05/2022,Bhopal,Mysuru,1221.01,01:21,07:30,08:51,AI878D
3442,34,premium,1288.79,Air India,22/04/2021,Khowai,Ayodhya,991.41,01:06,23:29,00:35,AI331D,3392,firstClass,954.78,GoAir,05/07/2020,Ayodhya,Khowai,991.41,01:06,01:34,02:40,G81757B
3498,34,firstClass,1515.79,Air India,19/05/2022,Bhopal,Mysuru,1221.01,01:21,07:30,08:51,AI878D,3441,premium,793.15,Air India,15/04/2021,Mysuru,Bhopal,1221.01,01:21,19:40,21:01,AI993C
3787,39,economic,344.26,IndiGo,04/09/2020,Kota,Mopa,5169.94,05:44,20:11,01:55,6E603B,3853,firstClass,1434.38,AirAsia India,15/07/2021,Mopa,Kota,5169.94,05:44,02:42,08:26,I53276
3853,39,firstClass,1434.38,AirAsia India,15/07/2021,Mopa,Kota,5169.94,05:44,02:42,08:26,I53276,3787,economic,344.26,IndiGo,04/09/2020,Kota,Mopa,5169.94,05:44,20:11,01:55,6E603B
