Airline,Departure,Arrival,Flight_Number
Air India,Tirupati,Visakhapatnam,AI754
Air India,Visakhapatnam,Tirupati,AI754
Air India,Tirupati,Vijayawada,AI214
Air India,Vijayawada,Tirupati,AI214
Air India,Tirupati,Itanagar,AI125
Air India,Itanagar,Tirupati,AI125
Air India,Tirupati,Dhubri,AI859
Air India,Dhubri,Tirupati,AI859
Air India,Tirupati,Guwahati,AI381
Air India,Guwahati,Tirupati,AI381
Air India,Tirupati,Patna,AI350
Air India,Patna,Tirupati,AI350
Air India,Tirupati,Raipur,AI328
Air India,Raipur,Tirupati,AI328
Air India,Tirupati,Bilaspur,AI242
Air India,Bilaspur,Tirupati,AI242
Air India,Tirupati,Raigarh,AI854
Air India,Raigarh,Tirupati,AI854
Air India,Tirupati,Mopa,AI204
Air India,Mopa,Tirupati,AI204
Air India,Tirupati,Dabolim,AI792
Air India,Dabolim,Tirupati,AI792
Air India,Tirupati,Ahmedabad,AI858
Air India,Ahmedabad,Tirupati,AI858
Air India,Tirupati,Surat,AI658
Air India,Surat,Tirupati,AI658
Air India,Tirupati,Vadodara,AI189
Air India,Vadodara,Tirupati,AI189
Air India,Tirupati,Hisar,AI704
Air India,Hisar,Tirupati,AI704
Air India,Tirupati,Shimla,AI532
Air India,Shimla,Tirupati,AI532
Air India,Tirupati,Kullu-Manali,AI132
Air India,Kullu-Manali,Tirupati,AI132
Air India,Tirupati,Jamshedpur,AI130
Air India,Jamshedpur,Tirupati,AI130
Air India,Tirupati,Ranchi,AI195
Air India,Ranchi,Tirupati,AI195
Air India,Tirupati,Bengaluru,AI323
Air India,Bengaluru,Tirupati,AI323
Air India,Tirupati,Mysuru,AI338
Air India,Mysuru,Tirupati,AI338
Air India,Tirupati,Thiruvananthapuram,AI617
Air India,Thiruvananthapuram,Tirupati,AI617
Air India,Tirupati,Gwalior,AI716
Air India,Gwalior,Tirupati,AI716
Air India,Tirupati,Indore,AI127
Air India,Indore,Tirupati,AI127
Air India,Tirupati,Bhopal,AI674
Air India,Bhopal,Tirupati,AI674
Air India,Tirupati,Mumbai,AI303
Air India,Mumbai,Tirupati,AI303
Air India,Tirupati,Navi Mumbai,AI833
Air India,Navi Mumbai,Tirupati,AI833
Air India,Tirupati,Nashik,AI765
Air India,Nashik,Tirupati,AI765
Air India,Tirupati,Pune,AI818
Air India,Pune,Tirupati,AI818
Air India,Tirupati,Imphal,AI658A
Air India,Imphal,Tirupati,AI658A
Air India,Tirupati,Shillong,AI529
Air India,Shillong,Tirupati,AI529
Air India,Tirupati,Puri,AI325
Air India,Puri,Tirupati,AI325
Air India,Tirupati,Bhubaneswar,AI559
Air India,Bhubaneswar,Tirupati,AI559
Air India,Tirupati,Ludhiana,AI703
Air India,Ludhiana,Tirupati,AI703
Air India,Tirupati,Amritsar,AI384
Air India,Amritsar,Tirupati,AI384
Air India,Tirupati,Jaipur,AI928
Air India,Jaipur,Tirupati,AI928
Air India,Tirupati,Udaipur,AI990
Air India,Udaipur,Tirupati,AI990
Air India,Tirupati,Kota,AI106
Air India,Kota,Tirupati,AI106
Air India,Tirupati,Gangtok,AI877
Air India,Gangtok,Tirupati,AI877
Air India,Tirupati,Coimbatore,AI925
Air India,Coimbatore,Tirupati,AI925
Air India,Tirupati,Chennai,AI263
Air India,Chennai,Tirupati,AI263
Air India,Tirupati,Hyderabad,AI814
Air India,Hyderabad,Tirupati,AI814
Air India,Tirupati,Khowai,AI532A
Air India,Khowai,Tirupati,AI532A
Air India,Tirupati,Ayodhya,AI448
Air India,Ayodhya,Tirupati,AI448
Air India,Tirupati,Varanasi,AI384A
Air India,Varanasi,Tirupati,AI384A
Air India,Tirupati,Prayagraj,AI259
Air India,Prayagraj,Tirupati,AI259
Air India,Tirupati,Dehradun,AI320
Air India,Dehradun,Tirupati,AI320
Air India,Tirupati,Kolkata,AI881
Air India,Kolkata,Tirupati,AI881
Air India,Tirupati,Delhi NCR,AI444
Air India,Delhi NCR,Tirupati,AI444
Air India,Tirupati,Chandigarh,AI204A
Air India,Chandigarh,Tirupati,AI204A
Air India,Tirupati,Puducherry,AI194
Air India,Puducherry,Tirupati,AI194
Air India,Tirupati,Diu,AI489
Air India,Diu,Tirupati,AI489
Air India,Tirupati,Srinagar,AI199
Air India,Srinagar,Tirupati,AI199
Air India,Visakhapatnam,Vijayawada,AI467
Air India,Vijayawada,Visakhapatnam,AI467
Air India,Visakhapatnam,Itanagar,AI967
Air India,Itanagar,Visakhapatnam,AI967
Air India,Visakhapatnam,Dhubri,AI452
Air India,Dhubri,Visakhapatnam,AI452
Air India,Visakhapatnam,Guwahati,AI718
Air India,Guwahati,Visakhapatnam,AI718
Air India,Visakhapatnam,Patna,AI370
Air India,Patna,Visakhapatnam,AI370
Air India,Visakhapatnam,Raipur,AI926
Air India,Raipur,Visakhapatnam,AI926
Air India,Visakhapatnam,Bilaspur,AI144
Air India,Bilaspur,Visakhapatnam,AI144
Air India,Visakhapatnam,Raigarh,AI847
Air India,Raigarh,Visakhapatnam,AI847
Air India,Visakhapatnam,Mopa,AI570
Air India,Mopa,Visakhapatnam,AI570
Air India,Visakhapatnam,Dabolim,AI649
Air India,Dabolim,Visakhapatnam,AI649
Air India,Visakhapatnam,Ahmedabad,AI227
Air India,Ahmedabad,Visakhapatnam,AI227
Air India,Visakhapatnam,Surat,AI487
Air India,Surat,Visakhapatnam,AI487
Air India,Visakhapatnam,Vadodara,AI180
Air India,Vadodara,Visakhapatnam,AI180
Air India,Visakhapatnam,Hisar,AI665
Air India,Hisar,Visakhapatnam,AI665
Air India,Visakhapatnam,Shimla,AI400
Air India,Shimla,Visakhapatnam,AI400
Air India,Visakhapatnam,Kullu-Manali,AI949
Air India,Kullu-Manali,Visakhapatnam,AI949
Air India,Visakhapatnam,Jamshedpur,AI743
Air India,Jamshedpur,Visakhapatnam,AI743
Air India,Visakhapatnam,Ranchi,AI733
Air India,Ranchi,Visakhapatnam,AI733
Air India,Visakhapatnam,Bengaluru,AI982
Air India,Bengaluru,Visakhapatnam,AI982
Air India,Visakhapatnam,Mysuru,AI470
Air India,Mysuru,Visakhapatnam,AI470
Air India,Visakhapatnam,Thiruvananthapuram,AI691
Air India,Thiruvananthapuram,Visakhapatnam,AI691
Air India,Visakhapatnam,Gwalior,AI296
Air India,Gwalior,Visakhapatnam,AI296
Air India,Visakhapatnam,Indore,AI821
Air India,Indore,Visakhapatnam,AI821
Air India,Visakhapatnam,Bhopal,AI171
Air India,Bhopal,Visakhapatnam,AI171
Air India,Visakhapatnam,Mumbai,AI146
Air India,Mumbai,Visakhapatnam,AI146
Air India,Visakhapatnam,Navi Mumbai,AI777
Air India,Navi Mumbai,Visakhapatnam,AI777
Air India,Visakhapatnam,Nashik,AI333
Air India,Nashik,Visakhapatnam,AI333
Air India,Visakhapatnam,Pune,AI891
Air India,Pune,Visakhapatnam,AI891
Air India,Visakhapatnam,Imphal,AI396
Air India,Imphal,Visakhapatnam,AI396
Air India,Visakhapatnam,Shillong,AI181
Air India,Shillong,Visakhapatnam,AI181
Air India,Visakhapatnam,Puri,AI975
Air India,Puri,Visakhapatnam,AI975
Air India,Visakhapatnam,Bhubaneswar,AI338A
Air India,Bhubaneswar,Visakhapatnam,AI338A
Air India,Visakhapatnam,Ludhiana,AI987
Air India,Ludhiana,Visakhapatnam,AI987
Air India,Visakhapatnam,Amritsar,AI203
Air India,Amritsar,Visakhapatnam,AI203
Air India,Visakhapatnam,Jaipur,AI489A
Air India,Jaipur,Visakhapatnam,AI489A
Air India,Visakhapatnam,Udaipur,AI384B
Air India,Udaipur,Visakhapatnam,AI384B
Air India,Visakhapatnam,Kota,AI564
Air India,Kota,Visakhapatnam,AI564
Air India,Visakhapatnam,Gangtok,AI750
Air India,Gangtok,Visakhapatnam,AI750
Air India,Visakhapatnam,Coimbatore,AI954
Air India,Coimbatore,Visakhapatnam,AI954
Air India,Visakhapatnam,Chennai,AI473
Air India,Chennai,Visakhapatnam,AI473
Air India,Visakhapatnam,Hyderabad,AI266
Air India,Hyderabad,Visakhapatnam,AI266
Air India,Visakhapatnam,Khowai,AI479
Air India,Khowai,Visakhapatnam,AI479
Air India,Visakhapatnam,Ayodhya,AI463
Air India,Ayodhya,Visakhapatnam,AI463
Air India,Visakhapatnam,Varanasi,AI314
Air India,Varanasi,Visakhapatnam,AI314
Air India,Visakhapatnam,Prayagraj,AI786
Air India,Prayagraj,Visakhapatnam,AI786
Air India,Visakhapatnam,Dehradun,AI373
Air India,Dehradun,Visakhapatnam,AI373
Air India,Visakhapatnam,Kolkata,AI818A
Air India,Kolkata,Visakhapatnam,AI818A
Air India,Visakhapatnam,Delhi NCR,AI799
Air India,Delhi NCR,Visakhapatnam,AI799
Air India,Visakhapatnam,Chandigarh,AI763
Air India,Chandigarh,Visakhapatnam,AI763
Air India,Visakhapatnam,Puducherry,AI173
Air India,Puducherry,Visakhapatnam,AI173
Air India,Visakhapatnam,Diu,AI723
Air India,Diu,Visakhapatnam,AI723
Air India,Visakhapatnam,Srinagar,AI750A
Air India,Srinagar,Visakhapatnam,AI750A
Air India,Vijayawada,Itanagar,AI275
Air India,Itanagar,Vijayawada,AI275
Air India,Vijayawada,Dhubri,AI646
Air India,Dhubri,Vijayawada,AI646
Air India,Vijayawada,Guwahati,AI846
Air India,Guwahati,Vijayawada,AI846
Air India,Vijayawada,Patna,AI350A
Air India,Patna,Vijayawada,AI350A
Air India,Vijayawada,Raipur,AI267
Air India,Raipur,Vijayawada,AI267
Air India,Vijayawada,Bilaspur,AI573
Air India,Bilaspur,Vijayawada,AI573
Air India,Vijayawada,Raigarh,AI488
Air India,Raigarh,Vijayawada,AI488
Air India,Vijayawada,Mopa,AI376
Air India,Mopa,Vijayawada,AI376
Air India,Vijayawada,Dabolim,AI755
Air India,Dabolim,Vijayawada,AI755
Air India,Vijayawada,Ahmedabad,AI804
Air India,Ahmedabad,Vijayawada,AI804
Air India,Vijayawada,Surat,AI670
Air India,Surat,Vijayawada,AI670
Air India,Vijayawada,Vadodara,AI324
Air India,Vadodara,Vijayawada,AI324
Air India,Vijayawada,Hisar,AI801
Air India,Hisar,Vijayawada,AI801
Air India,Vijayawada,Shimla,AI432
Air India,Shimla,Vijayawada,AI432
Air India,Vijayawada,Kullu-Manali,AI963
Air India,Kullu-Manali,Vijayawada,AI963
Air India,Vijayawada,Jamshedpur,AI886
Air India,Jamshedpur,Vijayawada,AI886
Air India,Vijayawada,Ranchi,AI894
Air India,Ranchi,Vijayawada,AI894
Air India,Vijayawada,Bengaluru,AI157
Air India,Bengaluru,Vijayawada,AI157
Air India,Vijayawada,Mysuru,AI334
Air India,Mysuru,Vijayawada,AI334
Air India,Vijayawada,Thiruvananthapuram,AI941
Air India,Thiruvananthapuram,Vijayawada,AI941
Air India,Vijayawada,Gwalior,AI132A
Air India,Gwalior,Vijayawada,AI132A
Air India,Vijayawada,Indore,AI924
Air India,Indore,Vijayawada,AI924
Air India,Vijayawada,Bhopal,AI423
Air India,Bhopal,Vijayawada,AI423
Air India,Vijayawada,Mumbai,AI510
Air India,Mumbai,Vijayawada,AI510
Air India,Vijayawada,Navi Mumbai,AI374
Air India,Navi Mumbai,Vijayawada,AI374
Air India,Vijayawada,Nashik,AI167
Air India,Nashik,Vijayawada,AI167
Air India,Vijayawada,Pune,AI316
Air India,Pune,Vijayawada,AI316
Air India,Vijayawada,Imphal,AI680
Air India,Imphal,Vijayawada,AI680
Air India,Vijayawada,Shillong,AI997
Air India,Shillong,Vijayawada,AI997
Air India,Vijayawada,Puri,AI835
Air India,Puri,Vijayawada,AI835
Air India,Vijayawada,Bhubaneswar,AI422
Air India,Bhubaneswar,Vijayawada,AI422
Air India,Vijayawada,Ludhiana,AI317
Air India,Ludhiana,Vijayawada,AI317
Air India,Vijayawada,Amritsar,AI771
Air India,Amritsar,Vijayawada,AI771
Air India,Vijayawada,Jaipur,AI611
Air India,Jaipur,Vijayawada,AI611
Air India,Vijayawada,Udaipur,AI505
Air India,Udaipur,Vijayawada,AI505
Air India,Vijayawada,Kota,AI758
Air India,Kota,Vijayawada,AI758
Air India,Vijayawada,Gangtok,AI569
Air India,Gangtok,Vijayawada,AI569
Air India,Vijayawada,Coimbatore,AI246
Air India,Coimbatore,Vijayawada,AI246
Air India,Vijayawada,Chennai,AI371
Air India,Chennai,Vijayawada,AI371
Air India,Vijayawada,Hyderabad,AI242A
Air India,Hyderabad,Vijayawada,AI242A
Air India,Vijayawada,Khowai,AI352
Air India,Khowai,Vijayawada,AI352
Air India,Vijayawada,Ayodhya,AI862
Air India,Ayodhya,Vijayawada,AI862
Air India,Vijayawada,Varanasi,AI674A
Air India,Varanasi,Vijayawada,AI674A
Air India,Vijayawada,Prayagraj,AI651
Air India,Prayagraj,Vijayawada,AI651
Air India,Vijayawada,Dehradun,AI369
Air India,Dehradun,Vijayawada,AI369
Air India,Vijayawada,Kolkata,AI864
Air India,Kolkata,Vijayawada,AI864
Air India,Vijayawada,Delhi NCR,AI698
Air India,Delhi NCR,Vijayawada,AI698
Air India,Vijayawada,Chandigarh,AI538
Air India,Chandigarh,Vijayawada,AI538
Air India,Vijayawada,Puducherry,AI697
Air India,Puducherry,Vijayawada,AI697
Air India,Vijayawada,Diu,AI508
Air India,Diu,Vijayawada,AI508
Air India,Vijayawada,Srinagar,AI470A
Air India,Srinagar,Vijayawada,AI470A
Air India,Itanagar,Dhubri,AI324A
Air India,Dhubri,Itanagar,AI324A
Air India,Itanagar,Guwahati,AI241
Air India,Guwahati,Itanagar,AI241
Air India,Itanagar,Patna,AI621
Air India,Patna,Itanagar,AI621
Air India,Itanagar,Raipur,AI605
Air India,Raipur,Itanagar,AI605
Air India,Itanagar,Bilaspur,AI193
Air India,Bilaspur,Itanagar,AI193
Air India,Itanagar,Raigarh,AI873
Air India,Raigarh,Itanagar,AI873
Air India,Itanagar,Mopa,AI148
Air India,Mopa,Itanagar,AI148
Air India,Itanagar,Dabolim,AI981
