Airline,Departure,Arrival,Flight_Number
Air India,Tirupati,Visakhapatnam,AI754
Air India,Tirupati,Vijayawada,AI214
Air India,Tirupati,Itanagar,AI125
Air India,Tirupati,Dhubri,AI859
Air India,Tirupati,Guwahati,AI381
Air India,Tirupati,Patna,AI350
Air India,Tirupati,Raipur,AI328
Air India,Tirupati,Bilaspur,AI242
Air India,Tirupati,Raigarh,AI854
Air India,Tirupati,Mopa,AI204
Air India,Tirupati,Dabolim,AI792
Air India,Tirupati,Ahmedabad,AI858
Air India,Tirupati,Surat,AI658
Air India,Tirupati,Vadodara,AI189
Air India,Tirupati,Hisar,AI704
Air India,Tirupati,Shimla,AI532
Air India,Tirupati,Kullu-Manali,AI132
Air India,Tirupati,Jamshedpur,AI130
Air India,Tirupati,Ranchi,AI195
Air India,Tirupati,Bengaluru,AI323
Air India,Tirupati,Mysuru,AI338
Air India,Tirupati,Thiruvananthapuram,AI617
Air India,Tirupati,Indore,AI127
Air India,Tirupati,Bhopal,AI674
Air India,Tirupati,Mumbai,AI303
Air India,Tirupati,Navi Mumbai,AI833
Air India,Tirupati,Nashik,AI765
Air India,Tirupati,Pune,AI818
Air India,Tirupati,Imphal,AI658
Air India,Tirupati,Shillong,AI529
Air India,Tirupati,Puri,AI325
Air India,Tirupati,Bhubaneswar,AI559
Air India,Tirupati,Ludhiana,AI703
Air India,Tirupati,Amritsar,AI384
Air India,Tirupati,Jaipur,AI928
Air India,Tirupati,Udaipur,AI990
Air India,Tirupati,Kota,AI106
Air India,Tirupati,Gangtok,AI877
Air India,Tirupati,Coimbatore,AI925
Air India,Tirupati,Chennai,AI263
Air India,Tirupati,Hyderabad,AI814
Air India,Tirupati,Khowai,AI532
Air India,Tirupati,Ayodhya,AI448
Air India,Tirupati,Varanasi,AI384
Air India,Tirupati,Prayagraj,AI259
Air India,Tirupati,Dehradun,AI320
Air India,Tirupati,Kolkata,AI881
Air India,Tirupati,Delhi NCR,AI444
Air India,Tirupati,Chandigarh,AI204
Air India,Tirupati,Puducherry,AI194
Air India,Tirupati,Diu,AI489
Air India,Tirupati,Srinagar,AI199
Air India,Visakhapatnam,Tirupati,AI753
Air India,Visakhapatnam,Itanagar,AI967
Air India,Visakhapatnam,Dhubri,AI452
Air India,Visakhapatnam,Guwahati,AI718
Air India,Visakhapatnam,Patna,AI370
Air India,Visakhapatnam,Raipur,AI926
Air India,Visakhapatnam,Raigarh,AI847
Air India,Visakhapatnam,Mopa,AI570
Air India,Visakhapatnam,Dabolim,AI649
Air India,Visakhapatnam,Ahmedabad,AI227
Air India,Visakhapatnam,Surat,AI487
Air India,Visakhapatnam,Vadodara,AI180
Air India,Visakhapatnam,Hisar,AI665
Air India,Visakhapatnam,Shimla,AI400
Air India,Visakhapatnam,Kullu-Manali,AI949
Air India,Visakhapatnam,Jamshedpur,AI743
Air India,Visakhapatnam,Ranchi,AI733
Air India,Visakhapatnam,Bengaluru,AI982
Air India,Visakhapatnam,Mysuru,AI470
Air India,Visakhapatnam,Thiruvananthapuram,AI691
Air India,Visakhapatnam,Gwalior,AI296
Air India,Visakhapatnam,Indore,AI821
Air India,Visakhapatnam,Bhopal,AI171
Air India,Visakhapatnam,Mumbai,AI146
Air India,Visakhapatnam,Navi Mumbai,AI777
Air India,Visakhapatnam,Nashik,AI333
Air India,Visakhapatnam,Pune,AI891
Air India,Visakhapatnam,Imphal,AI396
Air India,Visakhapatnam,Shillong,AI181
Air India,Visakhapatnam,Puri,AI975
Air India,Visakhapatnam,Bhubaneswar,AI338
Air India,Visakhapatnam,Ludhiana,AI987
Air India,Visakhapatnam,Amritsar,AI203
Air India,Visakhapatnam,Jaipur,AI489
Air India,Visakhapatnam,Udaipur,AI384
Air India,Visakhapatnam,Kota,AI564
Air India,Visakhapatnam,Gangtok,AI750
Air India,Visakhapatnam,Coimbatore,AI954
Air India,Visakhapatnam,Chennai,AI473
Air India,Visakhapatnam,Hyderabad,AI266
Air India,Visakhapatnam,Khowai,AI479
Air India,Visakhapatnam,Ayodhya,AI463
Air India,Visakhapatnam,Prayagraj,AI786
Air India,Visakhapatnam,Dehradun,AI373
Air India,Visakhapatnam,Kolkata,AI818
Air India,Visakhapatnam,Delhi NCR,AI799
Air India,Visakhapatnam,Chandigarh,AI763
Air India,Visakhapatnam,Puducherry,AI173
Air India,Visakhapatnam,Diu,AI723
Air India,Visakhapatnam,Srinagar,AI750
Air India,Vijayawada,Tirupati,AI213
Air India,Vijayawada,Dhubri,AI646
Air India,Vijayawada,Guwahati,AI846
Air India,Vijayawada,Patna,AI350
Air India,Vijayawada,Raipur,AI267
Air India,Vijayawada,Bilaspur,AI573
Air India,Vijayawada,Raigarh,AI488
Air India,Vijayawada,Mopa,AI376
Air India,Vijayawada,Dabolim,AI755
Air India,Vijayawada,Ahmedabad,AI804
Air India,Vijayawada,Surat,AI670
Air India,Vijayawada,Vadodara,AI324
Air India,Vijayawada,Hisar,AI801
Air India,Vijayawada,Shimla,AI432
Air India,Vijayawada,Kullu-Manali,AI963
Air India,Vijayawada,Jamshedpur,AI886
Air India,Vijayawada,Ranchi,AI894
Air India,Vijayawada,Bengaluru,AI157
Air India,Vijayawada,Mysuru,AI334
Air India,Vijayawada,Thiruvananthapuram,AI941
Air India,Vijayawada,Gwalior,AI132
Air India,Vijayawada,Indore,AI924
Air India,Vijayawada,Bhopal,AI423
Air India,Vijayawada,Mumbai,AI510
Air India,Vijayawada,Navi Mumbai,AI374
Air India,Vijayawada,Pune,AI316
Air India,Vijayawada,Imphal,AI680
Air India,Vijayawada,Shillong,AI997
Air India,Vijayawada,Puri,AI835
Air India,Vijayawada,Bhubaneswar,AI422
Air India,Vijayawada,Ludhiana,AI317
Air India,Vijayawada,Amritsar,AI771
Air India,Vijayawada,Jaipur,AI611
Air India,Vijayawada,Udaipur,AI505
Air India,Vijayawada,Kota,AI758
Air India,Vijayawada,Gangtok,AI569
Air India,Vijayawada,Coimbatore,AI246
Air India,Vijayawada,Chennai,AI371
Air India,Vijayawada,Hyderabad,AI242
Air India,Vijayawada,Khowai,AI352
Air India,Vijayawada,Ayodhya,AI862
Air India,Vijayawada,Varanasi,AI674
Air India,Vijayawada,Prayagraj,AI651
Air India,Vijayawada,Dehradun,AI369
Air India,Vijayawada,Kolkata,AI864
Air India,Vijayawada,Delhi NCR,AI698
Air India,Vijayawada,Chandigarh,AI538
