hotel_id,user_id,hotel_name,check_in_date,check_out_date,booking_date
b9819cc6-db05-4d0d-8931-50dc88b5164a,9127729e-5990-4042-a691-fd5c6ec5746d,"Moody, Chandler and Sullivan",2025-02-26,2025-03-05,2025-01-28 14:21:55
9da86097-bf83-4baf-9d32-08a3381c2e0c,31f78ad0-34a8-4ab0-9afd-66592ed2b09d,Reyes-Sanford,2025-01-24,2025-01-31,2024-12-20 22:01:14
b85a83be-0b88-48d0-bcff-ed1c7b0cf0a2,0cb0c382-dd27-4d72-8e01-3d430e0529e4,"Miller, Monroe and Mitchell",2025-02-21,2025-02-27,2024-12-22 12:34:53
fd9369d8-03d3-4280-9639-644b1cc8e3a2,de6bd487-095c-4884-a86d-e643f4298c35,Smith-Edwards,2025-02-21,2025-02-28,2024-12-08 20:32:47
c066dcfc-96b2-4482-995e-877f1acfb3ca,171d297a-2453-4692-a3f7-39961d81a553,"Boyd, Macdonald and Spencer",2025-02-06,2025-02-10,2025-01-01 17:28:41
4183bf72-670c-4b75-9b97-864f176e7a52,9042da2c-1326-4ab8-9040-3623c43e4ba6,Avery-Esparza,2025-02-20,2025-02-27,2025-01-08 03:51:23
dea3db9d-0b08-4bd2-b40a-ccbaebc708a8,d66842b5-ad55-4cba-a784-fdb355007b7b,Garcia-Martinez,2025-02-16,2025-02-21,2024-12-05 12:31:46
9572cf40-a8d1-4c78-815c-ce4734f035af,08844630-9677-4f7c-a89a-d5daa4a68c03,Hale PLC,2025-01-27,2025-02-01,2024-12-09 06:44:19
d7c60b69-85e1-4e11-af4a-b17000c7e005,dea68be3-40da-4432-a2df-36b3a01c33e5,Ware Inc,2025-01-30,2025-02-02,2025-01-18 12:30:02
0679c722-7f3b-41e5-aa1c-22863dddf066,10ef99c8-161f-4ab8-92db-08e73e40e344,"Leonard, Farmer and Mendez",2025-02-16,2025-02-22,2024-12-27 13:14:26
77b19453-d235-4846-b5e8-adf1eecb79a3,c8120888-283a-44d0-9d74-c61ec890679c,Flores-Hayes,2025-01-17,2025-01-21,2025-01-26 01:23:20
575fdd19-363d-408c-8b88-92564c726d1b,38721bbc-32c4-479e-a947-61755aa372ea,Dorsey-Lee,2025-01-03,2025-01-04,2025-01-27 07:49:35
a7c6ee05-86c8-4076-a288-b52b1ab70764,aa60dc99-9bf7-4f34-a6df-32711d89687b,Bullock LLC,2025-01-01,2025-01-04,2025-01-17 03:17:52
132b0cd5-8157-47f3-b331-1fe71c3b2540,689d7be9-674d-4b4b-b8f6-0a0e38033769,Baker Group,2025-02-02,2025-02-06,2024-12-20 02:59:38
2c5c5859-4645-4db7-8cd7-559eeb528a4d,3b0d23dd-a983-41bc-8758-5a23e8448356,Webb-Smith,2025-02-28,2025-03-02,2025-01-12 01:26:19
a6eafffe-f3d1-41a5-9c24-aac9604dbdc5,db615486-59a0-49cd-9799-0c3a2eedefff,"Tyler, Knight and Wall",2025-02-14,2025-02-17,2025-01-13 16:10:16
966080cc-19c0-4030-bbcf-79cc21d4bae7,cc34dadb-1f9a-449f-a31c-cf9de0f386c5,"Fox, Shelton and Kelly",2025-01-31,2025-02-03,2024-12-07 15:07:20
0023e134-ca60-41bb-9662-4745f583b860,6750147c-b32e-4a0f-8411-874b022a4b17,"Bryan, Roth and Mays",2025-02-18,2025-02-24,2024-12-08 05:31:53
c025b083-c468-4dfb-a3fc-dfd7b1396b67,bf206369-c0e7-4c3e-beb4-0848d310aabf,Rodriguez PLC,2025-01-07,2025-01-08,2024-12-16 13:07:16
c81b9dad-5369-466c-af7a-fb3e516b6daa,ff6e0005-c06e-4cad-a8d9-26c72a9a953d,Ochoa-Mora,2025-01-25,2025-01-30,2025-01-16 05:51:24
3ab907ad-b96f-4d3a-8f92-46c4d65215c5,aa1147e9-df14-4a80-8b2f-7ca7ba6e02d7,Potts-Villarreal,2025-02-09,2025-02-11,2025-01-02 13:14:56
957e1daa-aaeb-4ee0-9e4c-61d58af77556,eb3e6eb7-7085-4ffd-ae42-54a8c2c6cbee,Roberts-Vaughn,2025-02-14,2025-02-21,2025-01-19 10:47:21
8646fc5e-6b7d-442d-a4b7-5b0eb55c0f4f,e11be765-0128-4edf-af80-0b86a42ccd71,Wood and Sons,2025-02-19,2025-02-20,2025-01-07 18:01:31
e11e041f-7865-4ad6-9fa7-fd18b2a04d59,0c12e25c-4c14-4d9a-95d0-1b42f3ecc126,Warner and Sons,2025-02-14,2025-02-18,2025-01-05 23:57:00
0e6223cd-13f0-4804-b5fa-b8b6325b060b,58467878-eca3-4771-9681-6315b9482249,Ayala Ltd,2025-02-09,2025-02-16,2024-12-16 08:51:28
437b7112-9c07-4c0f-994a-7fb2da3d2af6,34d072ea-26cd-43c5-a3f1-b2340174855b,Cooper LLC,2025-01-23,2025-01-27,2025-01-15 20:25:06
4a74343e-39ed-4f04-91f3-b4f2166091c7,644c1a63-6d5c-452d-a2b4-3fe84bc90864,"Bond, Martin and Forbes",2025-01-24,2025-01-31,2025-01-09 17:18:53
a5c128ed-bbf0-4f7b-b361-5af0c4539a33,0ae46508-2b14-4383-9186-588015a4adda,Mitchell PLC,2025-01-22,2025-01-23,2025-01-07 10:40:09
7a8971db-8b8d-47c3-8b05-93ca0ccb4209,93ca1d17-d884-4047-9d5e-766f916f8689,Glenn-Arroyo,2025-01-02,2025-01-04,2025-01-27 07:57:31
0fbf0046-4897-428c-9a72-21d5d77eb71e,904bea90-ba57-4d63-b076-57b7f1ed5690,Snyder-Robinson,2025-01-15,2025-01-21,2025-01-25 12:04:51
232db76d-99aa-4fd0-8892-758a17e7ecf3,ab2151d6-f6a9-4217-96ce-42c94653f1a4,"Nguyen, Calderon and Mcbride",2025-01-19,2025-01-22,2025-01-10 05:09:16
17dd9c9f-7405-49b3-97a5-895dd766cb30,8814c95e-1633-496d-ba93-ee2be9f87c85,Orr-Lamb,2025-02-06,2025-02-07,2024-12-31 08:23:34
2d5df944-a4d0-405a-b58a-f5bd2906ba31,640342b1-ed99-4c45-a1d5-a959ffb64e30,Smith PLC,2025-02-23,2025-02-26,2024-12-29 14:53:35
bf4297c5-71f5-4081-8ddb-04d8469b68f7,e4dba937-ab93-40f7-aaaa-357f7f828045,Mccarty-Daniels,2025-01-06,2025-01-10,2024-12-14 17:04:53
239fcb6c-fbc8-4753-8b10-6de286339c27,087738e3-a40c-4b18-b69d-dc05d362c008,"English, Harris and Brooks",2025-01-13,2025-01-20,2025-01-27 16:24:48
b89d5913-0145-4485-bf71-95a03d3a0a62,0bfc215a-5bda-4927-981c-d7f40f62b5a5,Anderson Ltd,2025-01-30,2025-02-02,2024-12-08 10:54:18
1f03d775-deae-46a0-a074-5d8164853c99,72365d3d-71d5-45cd-8657-586244954853,Reid PLC,2025-02-22,2025-02-28,2025-01-12 12:01:31
60cda63b-aebf-4e10-bb16-1cf21e0d5f54,d3153e49-45b1-4fe4-8166-464c0d114ceb,"James, Hall and Mcmillan",2025-01-14,2025-01-18,2024-12-02 14:15:40
349daefc-fe30-4552-b5c2-6c8f8408476a,775d1776-a6f6-462f-9a4e-8bb6a79441e9,"Summers, Scott and Greene",2025-02-15,2025-02-22,2024-12-04 14:40:54
7bc4c6f6-01a9-4908-9df3-014f4c456565,d19b9655-1111-491c-a743-6f2b263b261a,"Dunn, Hale and Jacobs",2025-02-07,2025-02-12,2024-12-08 08:28:24
ac66e47d-2d60-41ba-ba92-ace2f663e18a,4cb4ffd0-b41e-4c33-8264-646e79b7a447,"Davidson, Mclaughlin and Wilson",2025-01-07,2025-01-14,2024-12-14 00:45:02
021df1d6-ce87-4bac-adcc-8e868e5f91c0,d4397ebc-9c2b-47d7-a8f1-9adce13c1839,Simpson-Thompson,2025-01-21,2025-01-25,2024-12-26 09:49:41
89d66af9-6b01-4d52-a68f-b5e831350043,9892e301-d0a8-4d3c-91fa-dc5858b5418c,Zamora Inc,2025-02-28,2025-03-05,2025-01-13 00:46:13
1af41ef3-a6d7-48ff-a382-85aeb7b2b7ba,18b11788-7fc0-45bf-966a-222cca5af95e,Short LLC,2025-01-08,2025-01-10,2024-12-30 19:25:21
63693964-e977-4368-a62f-a7927cb4aadb,e478147d-6242-40dc-ba85-388e2d2e82a3,"Osborne, Vega and Hughes",2025-02-16,2025-02-21,2024-12-14 12:00:34
d2ea7ddc-e4c1-4dc9-b35e-fcd57c49e75e,4e7abb6a-9fa0-4a48-a7ff-a7e78cd0e296,"Stone, Lewis and Vazquez",2025-01-02,2025-01-06,2025-01-23 02:41:08
9cb1c846-ef31-46e7-9fd4-26b965f6a454,8d8dd386-22f6-484c-a0b5-968d9dc355c8,Adams Inc,2025-02-03,2025-02-07,2024-12-27 09:02:19
73bb2c33-d714-4e74-9975-f3d44c46e5f8,94cc8825-da8c-4419-b195-3b3ba550b886,Peterson-Gonzalez,2025-02-20,2025-02-23,2024-12-02 05:57:39
50edfb5e-6f49-42b8-892f-968675a11b3e,2d6dc7b9-19b9-46ea-9f19-47827a6584b4,Meyer and Sons,2025-02-13,2025-02-20,2025-01-25 16:14:05
78de2c0e-cca3-41b9-b5c6-2c14aab0b576,5b1b75e5-8df7-4c97-8e46-8759be423e08,Park-Joseph,2025-01-10,2025-01-16,2025-01-14 05:01:00
