travelCode,userCode,hotelName,location,roomType,checkInDate,checkOutDate,totalNights,numGuests,pricePerNight,totalCost,bookingStatus,paymentStatus
b477ea0f-85c2-42f2-94b8-3d6d73b5f274,16cef992-89aa-41e0-b918-b5fb1b0727d8,"Wells, Payne and Coleman",New Laurahaven,Standard,2025-01-04 23:39:21,2025-01-07 23:39:21,3,3,82,611,Confirmed,Paid
72ba047f-7951-4994-b0c7-7660a540605d,3bde4faa-eb96-4523-88e0-11def4cd454c,"Price, Elliott and Campbell",Estradaport,Suite,2025-01-08 14:03:18,2025-01-14 14:03:18,6,1,420,1669,Confirmed,Paid
11323ea6-1a64-493c-a459-37929190cae5,31993869-a7ea-4403-a237-342c02e028e5,Holder-Griffin,South Kelsey,Suite,2025-01-07 21:42:11,2025-01-12 21:42:11,5,1,408,195,Confirmed,Paid
54f4a97f-3548-49fe-83c3-3c2692e52a2b,9b1626aa-2c43-4658-8780-fed430ea4a0c,Smith-Vaughn,West Samanthamouth,Deluxe,2025-01-04 05:24:05,2025-01-06 05:24:05,2,2,61,1888,Confirmed,Paid
4b792a14-fc32-47a2-8310-bc2951a1ec28,cc29e100-150d-42a1-9fb4-43c79aeeec9c,Pace-Young,New Brianmouth,Standard,2025-01-21 11:24:17,2025-01-23 11:24:17,2,1,274,1209,Confirmed,Paid
8ba2296d-8c97-473c-9726-2c324b14553a,53054eae-546b-46ed-be25-98f3476a87a1,Bennett PLC,Williamborough,Standard,2025-01-03 23:43:31,2025-01-07 23:43:31,4,3,174,1566,Confirmed,Paid
8b7549cd-49c4-4d13-b9f2-401ad3c31a0b,1950d2f6-8f4c-470f-a574-f76adbbfc17b,"Garcia, Cummings and Reed",Port Jennifermouth,Suite,2025-01-08 01:50:53,2025-01-13 01:50:53,5,2,467,1361,Confirmed,Paid
094df21e-6f8a-489f-b3fa-2354cbe396fe,85c076a2-5d68-442c-ab30-5bb84fe345bf,Hurst-Bryant,West Ann,Suite,2025-01-14 05:41:04,2025-01-18 05:41:04,4,3,166,1200,Confirmed,Paid
3b815f1d-c042-4892-8525-66c33422466d,3b847c4f-de88-43e5-8bcd-10ca3739c016,"Sanders, Lee and Thompson",Matthewmouth,Suite,2025-01-19 12:12:07,2025-01-24 12:12:07,5,1,304,1854,Confirmed,Paid
e582e756-0294-440e-b80c-23b47c26be81,bacaa253-b6ce-4ae5-b391-7f4fafe0cf2b,James LLC,Tiffanymouth,Standard,2025-01-02 12:43:38,2025-01-06 12:43:38,4,2,70,1604,Confirmed,Paid
b7247ad2-fa0a-4294-ba6d-e910a1c6713d,37fa2131-cd66-465c-98c1-ed812746158e,Collins PLC,Craneburgh,Standard,2025-01-09 16:25:49,2025-01-12 16:25:49,3,1,95,1072,Confirmed,Paid
240005a4-0500-4d22-9194-8142a75ae647,a03d37f9-0bfa-4da9-b43b-bfbfdb9fafae,"Morris, Griffith and Robinson",Lake Dawnberg,Deluxe,2025-01-05 21:43:01,2025-01-09 21:43:01,4,1,120,1558,Confirmed,Paid
80b1eba7-a7d2-471e-8a80-90fa4c3808d5,27114b97-166f-4926-90c7-7f1ed1292b1f,Myers-Martin,North Dennis,Suite,2025-01-18 16:36:23,2025-01-19 16:36:23,1,2,133,749,Confirmed,Paid
3dc09bd0-de12-48c1-94ab-f61c9e23b483,bdc455e7-5226-4ec9-863a-3e591fb20eff,Mata Ltd,Faulknerburgh,Deluxe,2025-01-14 17:11:21,2025-01-18 17:11:21,4,3,268,1793,Confirmed,Paid
b8d42f30-2b3d-4b5d-9879-1f2e604e20ce,9915397c-b2c0-4bf9-a668-9c4c24924ccb,Charles-Bridges,Garciaport,Deluxe,2025-01-24 01:55:30,2025-01-26 01:55:30,2,3,402,621,Confirmed,Paid
e5c9638f-9a25-48cd-b729-c16781c33806,c1c12e86-e0f3-494e-8ec0-c228847c66d0,Anderson Inc,Jamietown,Deluxe,2025-01-10 22:51:28,2025-01-11 22:51:28,1,2,169,1594,Confirmed,Paid
a5bbc33d-92c2-4ed7-9aa2-0390cab971af,4657a222-f885-479a-9acf-4d7dc38404b1,Wheeler-Dawson,East Jasmine,Suite,2025-01-22 00:10:17,2025-01-23 00:10:17,1,3,384,647,Confirmed,Paid
