travelCode,userCode,pickupLocation,dropoffLocation,carType,rentalAgency,pickupDateTime,dropoffDateTime,rentalDuration,price,totalDistance,fuelPolicy,bookingStatus
b477ea0f-85c2-42f2-94b8-3d6d73b5f274,16cef992-89aa-41e0-b918-b5fb1b0727d8,New Laurahaven,Lake Robinport,Hatchback,Johnson Inc,2025-01-07 23:39:21,2025-01-08 23:39:21,1,233,572,Full-to-Full,Pending
72ba047f-7951-4994-b0c7-7660a540605d,3bde4faa-eb96-4523-88e0-11def4cd454c,Estradaport,Wheelershire,SUV,Gibson-Matthews,2025-01-14 14:03:18,2025-01-15 14:03:18,1,250,249,Prepaid,Confirmed
11323ea6-1a64-493c-a459-37929190cae5,31993869-a7ea-4403-a237-342c02e028e5,South Kelsey,East Jaclynport,SUV,"Horn, Griffith and Santiago",2025-01-12 21:42:11,2025-01-13 21:42:11,1,149,702,Full-to-Full,Confirmed
54f4a97f-3548-49fe-83c3-3c2692e52a2b,9b1626aa-2c43-4658-8780-fed430ea4a0c,West Samanthamouth,West Elaine,Sedan,Williams-Brown,2025-01-06 05:24:05,2025-01-10 05:24:05,4,195,350,Full-to-Full,Confirmed
4b792a14-fc32-47a2-8310-bc2951a1ec28,cc29e100-150d-42a1-9fb4-43c79aeeec9c,New Brianmouth,Port Kimberlyfurt,SUV,Mendez Ltd,2025-01-23 11:24:17,2025-01-24 11:24:17,1,34,720,Full-to-Full,Confirmed
8ba2296d-8c97-473c-9726-2c324b14553a,53054eae-546b-46ed-be25-98f3476a87a1,Williamborough,New Dana,Sedan,Bell-Gray,2025-01-07 23:43:31,2025-01-10 23:43:31,3,299,882,Full-to-Full,Pending
8b7549cd-49c4-4d13-b9f2-401ad3c31a0b,1950d2f6-8f4c-470f-a574-f76adbbfc17b,Port Jennifermouth,Port Randyburgh,Luxury,"Mcmillan, Rosales and Craig",2025-01-13 01:50:53,2025-01-14 01:50:53,1,139,842,Full-to-Full,Pending
094df21e-6f8a-489f-b3fa-2354cbe396fe,85c076a2-5d68-442c-ab30-5bb84fe345bf,West Ann,Paulton,Sedan,"Hunter, Conley and Ramsey",2025-01-18 05:41:04,2025-01-21 05:41:04,3,222,986,Prepaid,Confirmed
3b815f1d-c042-4892-8525-66c33422466d,3b847c4f-de88-43e5-8bcd-10ca3739c016,Matthewmouth,New Anthonyborough,Luxury,"Fisher, Alvarado and Glass",2025-01-24 12:12:07,2025-01-25 12:12:07,1,167,143,Prepaid,Cancelled
e582e756-0294-440e-b80c-23b47c26be81,bacaa253-b6ce-4ae5-b391-7f4fafe0cf2b,Tiffanymouth,Johnmouth,Hatchback,Thomas-Bright,2025-01-06 12:43:38,2025-01-10 12:43:38,4,89,249,Prepaid,Cancelled
b7247ad2-fa0a-4294-ba6d-e910a1c6713d,37fa2131-cd66-465c-98c1-ed812746158e,Craneburgh,Melaniemouth,Luxury,Mejia-Porter,2025-01-12 16:25:49,2025-01-13 16:25:49,1,165,94,Full-to-Full,Confirmed
240005a4-0500-4d22-9194-8142a75ae647,a03d37f9-0bfa-4da9-b43b-bfbfdb9fafae,Lake Dawnberg,Martinezshire,Luxury,Young-Young,2025-01-09 21:43:01,2025-01-10 21:43:01,1,217,624,Full-to-Full,Pending
80b1eba7-a7d2-471e-8a80-90fa4c3808d5,27114b97-166f-4926-90c7-7f1ed1292b1f,North Dennis,Port Edwardberg,Sedan,Diaz-Williams,2025-01-19 16:36:23,2025-01-21 16:36:23,2,57,346,Full-to-Full,Cancelled
3dc09bd0-de12-48c1-94ab-f61c9e23b483,bdc455e7-5226-4ec9-863a-3e591fb20eff,Faulknerburgh,Lake Perryside,Luxury,"Lyons, Anderson and Carey",2025-01-18 17:11:21,2025-01-19 17:11:21,1,34,497,Full-to-Full,Pending
b8d42f30-2b3d-4b5d-9879-1f2e604e20ce,9915397c-b2c0-4bf9-a668-9c4c24924ccb,Garciaport,Gonzalezton,Sedan,Moore-Farmer,2025-01-26 01:55:30,2025-01-27 01:55:30,1,172,112,Prepaid,Pending
e5c9638f-9a25-48cd-b729-c16781c33806,c1c12e86-e0f3-494e-8ec0-c228847c66d0,Jamietown,Smithland,SUV,Scott Inc,2025-01-11 22:51:28,2025-01-15 22:51:28,4,151,305,Prepaid,Pending
a5bbc33d-92c2-4ed7-9aa2-0390cab971af,4657a222-f885-479a-9acf-4d7dc38404b1,East Jasmine,Tatestad,SUV,Thompson-Vega,2025-01-23 00:10:17,2025-01-24 00:10:17,1,262,545,Full-to-Full,Confirmed
30745fc1-b732-4c05-b4e9-552c2359cf4e,0fb786ad-09bd-4d8d-b5bc-737b4f085530,Ambertown,Michaelville,Sedan,Heath-Hodges,2025-01-02 02:57:44,2025-01-05 02:57:44,3,165,648,Full-to-Full,Pending
3d6b5957-699a-4f01-b347-9aca7132f1eb,eed0f104-70b6-421f-9ca8-90055ddf1ce0,Barbaraberg,East Mallory,Luxury,Horton-Silva,2025-01-20 09:10:41,2025-01-21 09:10:41,1,208,843,Full-to-Full,Pending
f20342ac-2f95-4441-bc91-63d61695fa7e,2d5f58ff-170e-4524-9868-e0249bd9d4a0,Port Rebeccafort,Mortonmouth,Luxury,Macdonald Group,2025-02-03 04:16:48,2025-02-05 04:16:48,2,245,496,Prepaid,Confirmed
8d0137ae-e225-4e8a-8b16-54aea1003cf7,3cfbe1fc-94d0-410f-b105-b78e7d7815ba,South Lee,Morrisbury,SUV,Cruz-Webster,2025-01-06 16:43:34,2025-01-07 16:43:34,1,89,415,Prepaid,Pending
bce61c86-ea80-48de-86f1-b387183eba68,3998acc1-f200-434b-a91e-2be409c24878,Mathisfort,Franklinberg,Luxury,"Clements, Webster and Bray",2025-01-24 08:48:09,2025-01-27 08:48:09,3,172,980,Full-to-Full,Cancelled
2ce731ab-1d61-4bce-ab5c-a4265b769252,d7e8ca63-57bc-4ed9-951a-016a28146c0a,Dickersonbury,New Pamela,Luxury,Peters Ltd,2025-01-18 16:02:20,2025-01-21 16:02:20,3,169,54,Full-to-Full,Pending
36461e99-9b5e-499b-b3bd-336a59f28924,01cdcad0-6029-4203-9bf0-f241d2c1bff8,Lutzmouth,East Maria,SUV,Brown and Sons,2025-01-22 21:08:54,2025-01-26 21:08:54,4,240,914,Prepaid,Cancelled
f0aaf5a7-50da-4adf-bb48-c6e8e9b051b5,785aadca-75a1-4070-8332-ada205a7c01c,Lake Melissaton,New Williamtown,Luxury,Schmitt-Browning,2025-01-27 12:53:57,2025-01-28 12:53:57,1,157,795,Prepaid,Pending
7a54859f-2af8-4274-90a8-302c83c8d6da,89eb3f4d-e2b9-489c-9bab-b24416ca27a5,Michaelport,West Amberburgh,Luxury,"Campbell, Hensley and Mitchell",2025-01-12 22:31:36,2025-01-15 22:31:36,3,243,596,Prepaid,Cancelled
4360624a-cf03-4388-8691-e14fdc259e86,624eda13-1fc7-4e70-993c-0628b560d06e,Jefferychester,Longmouth,Luxury,"Gardner, Martinez and Riley",2025-01-04 07:07:14,2025-01-06 07:07:14,2,263,253,Prepaid,Pending
007b47cc-3085-4768-89c5-45c16037bead,b40caa13-06fc-4ede-b637-b93cde7349d1,Justinland,Lake Ryan,SUV,"Brown, Stevens and Smith",2025-01-04 20:19:18,2025-01-08 20:19:18,4,271,524,Full-to-Full,Pending
363b55af-eca6-4434-a019-1bb3e8102d65,35e799c0-bfab-43c1-973e-ff5e11d563b8,West Adammouth,New Nicoleville,Luxury,"Peterson, Jones and Velez",2025-02-01 17:38:55,2025-02-05 17:38:55,4,299,184,Full-to-Full,Cancelled
cc9ee0a9-7722-48a7-b2f0-53bc8cbe2b6f,7a965036-5da3-4a19-8dcf-cf1880ad81c6,South Gary,Suzanneside,Luxury,Jordan PLC,2025-01-07 18:04:53,2025-01-09 18:04:53,2,289,195,Prepaid,Cancelled
32831ba8-cc23-448c-948f-327a62a9ad35,da5af846-9554-4ae6-887e-9b5028ce7d38,Martinezborough,Saundersmouth,Sedan,Gutierrez LLC,2025-01-23 12:19:17,2025-01-26 12:19:17,3,298,114,Prepaid,Pending
0685470d-199e-4c07-a6cb-7fff44bc15df,0d9f0189-bbfb-4bd1-865f-6437044fbd6a,West Rebeccaburgh,Millermouth,SUV,Huber Inc,2025-01-26 18:29:48,2025-01-28 18:29:48,2,174,714,Prepaid,Confirmed
d45d9c23-e52f-432b-91c6-090d8e0685f6,e33d4f4c-6c12-4147-b701-585da7bf1652,Port Jessica,Justinmouth,Luxury,Ellis LLC,2025-01-16 19:30:33,2025-01-19 19:30:33,3,267,252,Full-to-Full,Pending
25fca09e-9436-4568-8225-84fa98ddfb2e,3726523b-4c88-47f3-9e36-d996522c7933,Port Richard,North Anthony,Luxury,"Lutz, Hahn and Myers",2025-01-16 07:59:17,2025-01-20 07:59:17,4,227,256,Full-to-Full,Confirmed
9363efaf-c028-4ef9-89b1-525b4873f0ed,b7683ac8-efeb-4936-82a9-50871960aa51,Port Josephside,Lake Rachel,Luxury,"Vazquez, Owen and Ward",2025-01-24 21:46:41,2025-01-26 21:46:41,2,205,212,Prepaid,Cancelled
6f61563f-dbfa-4df1-b487-f54150aa9374,abc7f0f5-8a89-489a-b7c8-242fd6eccb73,Brianfurt,Port Ashleyhaven,SUV,"Reynolds, Reese and Brown",2025-01-10 19:44:25,2025-01-14 19:44:25,4,90,323,Full-to-Full,Cancelled
be2c6188-5664-47e5-b619-7e49d624a169,2b8e45e6-77c3-4888-9447-f008c3dac441,Lake Michael,Jonburgh,Hatchback,"Warren, Wilson and Martinez",2025-01-20 21:21:23,2025-01-24 21:21:23,4,257,795,Full-to-Full,Pending
81181782-d060-4ccc-92c7-a3f4ac7eda61,a7244bd0-be3b-4b1d-ba4b-aa1d544b16fe,Marioview,Melissaland,Hatchback,"Mccullough, Warner and Woodward",2025-01-30 00:18:01,2025-02-01 00:18:01,2,226,969,Full-to-Full,Confirmed
d5d8f6a1-fb25-423d-b3f0-e3dce7385de0,2de45fce-44eb-4c1f-9793-381ef1a13cb2,East Marymouth,North Nathanielstad,SUV,Stafford LLC,2025-01-29 18:27:31,2025-01-31 18:27:31,2,30,160,Full-to-Full,Cancelled
a25a39a0-54a1-4a37-91f4-9d689f54b459,956bfe04-2aa4-4a16-ba8a-a0c5643f7401,Hernandezland,West Williamstad,SUV,Bauer Group,2025-01-10 17:57:18,2025-01-13 17:57:18,3,80,586,Prepaid,Cancelled
a2942b82-89ab-4009-86fc-e6f407947366,b7bbf8e1-fa72-482d-a6c0-3ba3b1c12f49,West Monicastad,Christopherfort,Hatchback,"Torres, Farmer and Kelley",2025-01-31 03:34:51,2025-02-03 03:34:51,3,171,334,Full-to-Full,Cancelled
ac578201-acab-4936-9ba1-d3a55b19de1c,e2aa3e15-c790-452e-aa6d-3409fac08508,Lake Jeffrey,Ramirezburgh,Sedan,Rodriguez-Contreras,2025-01-25 13:44:58,2025-01-29 13:44:58,4,178,834,Prepaid,Pending
9a68ecf2-dbe8-4941-a30b-6893f9f0d94d,4cac8fbd-afd0-4453-85ff-ce3643ecc840,Michaelchester,Lake Erinbury,Luxury,Steele-Singh,2025-01-21 23:09:45,2025-01-24 23:09:45,3,283,90,Prepaid,Cancelled
a1060f62-743b-4f57-ab96-386c27d46ac4,399f1757-3450-4d3d-a0bc-abedcc463a19,Humphreyburgh,Neiltown,SUV,Dougherty PLC,2025-01-25 02:06:26,2025-01-28 02:06:26,3,172,383,Full-to-Full,Pending
5a5416a7-9098-427e-aeaa-75ae0345014b,08a8abd4-1219-4467-84aa-b3248a0fe1a4,West Laura,East Vanessa,Sedan,Ramos LLC,2025-02-03 01:15:22,2025-02-07 01:15:22,4,75,199,Full-to-Full,Cancelled
620e90b7-58a1-47f3-8304-e3ab3a164792,42d4f486-b6ef-4dd3-b2f6-5f66e96113ec,Rayfurt,Marilynhaven,Hatchback,Soto-Boyd,2025-01-24 13:28:27,2025-01-25 13:28:27,1,96,357,Full-to-Full,Cancelled
021021a7-720a-4d7e-870a-01cef67c132a,38213e64-f786-413f-a741-e7b4f5991b33,Markport,Sanchezmouth,Sedan,"Dougherty, Adkins and Hancock",2025-02-01 08:23:36,2025-02-05 08:23:36,4,109,417,Prepaid,Pending
707ce1ad-cff5-4885-b218-cbe10a90f7cd,eec73934-a394-45b3-a7d8-4dc761ca11d5,East David,Changview,SUV,"Martinez, Nolan and Hernandez",2025-01-15 11:44:25,2025-01-17 11:44:25,2,41,797,Prepaid,Confirmed
8438188e-4710-4d0a-8894-62c1a9b57da4,d0aea422-0a97-4322-aafb-a3afc08e240a,Sawyerview,South Scottburgh,Sedan,Jenkins LLC,2025-02-02 20:09:36,2025-02-03 20:09:36,1,54,729,Prepaid,Cancelled
48cec4a9-0438-4d25-b02b-315e40cc09c1,ab3e75d7-0a05-4c01-84da-709fce9f56ba,New Lindaborough,Michelefurt,SUV,Morgan-Gray,2025-01-24 10:45:13,2025-01-25 10:45:13,1,96,408,Full-to-Full,Pending
08aa0f00-ab97-4a5f-b00c-6fe91674a3b5,45c6b17c-5de0-4d4b-bee0-8c69c48d4638,East Brian,New Kimtown,Sedan,Andrews-Lewis,2025-01-12 21:15:06,2025-01-13 21:15:06,1,295,631,Prepaid,Cancelled
9904dd80-272d-47ae-b13a-fce1707323e8,094b7d38-4ba6-40b5-9c6e-2b41f5a35ad5,East Jamesfurt,Davidview,SUV,Stafford PLC,2025-01-10 16:11:35,2025-01-11 16:11:35,1,74,791,Full-to-Full,Cancelled
2753742f-a467-400f-9d30-d28419fc11db,a50db2e3-1bc9-460b-b1af-84c822869547,Williamborough,Meganstad,Hatchback,Choi-Flores,2025-01-10 11:19:09,2025-01-11 11:19:09,1,99,142,Prepaid,Pending
c1c33cc5-b66d-430d-a1a0-d14860e88eb0,5da07858-b636-4347-9494-248473f51158,Port Aaron,Paulberg,Hatchback,Clark-Perez,2025-01-10 23:45:24,2025-01-13 23:45:24,3,116,691,Prepaid,Pending
59bea066-ff57-448e-a1f9-2f82dcab5db9,52cbda5a-2ea5-41ea-ba7a-3aa6f8dbe54d,Jodiview,Port Leslie,Hatchback,"Nguyen, Bennett and Kirk",2025-01-11 00:42:12,2025-01-14 00:42:12,3,215,474,Full-to-Full,Pending
